Energy Category,Project Type Tag,Projects
Decarbonization Technology,"Utilities (electricity, gas, telecommunications)",10157
Decarbonization Technology,Renewable Energy Production,8798
Decarbonization Technology,Electricity Transmission,7697
Decarbonization Technology,Carbon Capture and Sequestration,1327
Decarbonization Technology,Nuclear Technology,1314
Decarbonization Technology,Conventional Energy Production - Other,935
Decarbonization Technology,Conventional Energy Production - Nuclear,301
Fossil Fuel,Conventional Energy Production - Land-based Oil & Gas,8664
Fossil Fuel,Pipelines,5324
Fossil Fuel,Conventional Energy Production - Coal,732
Fossil Fuel,Conventional Energy Production - Offshore Oil and Gas,222
Fossil Fuel,Conventional Energy Production - Rural Energy,157
