Project Title,Technology,Location
Fiscal Year (FY)-14 Wireless Test Bed Fiber Optic Cable to Gate 1 and Experimental Breeder Reactor-I (EBR-I) Cell Sites,"Broadband, Utilities, Waste Management, Electricity Transmission","Butte, ID"
Remove Power from Disconnect 7.06 in Building 234-H Room 326,"Electricity Transmission, Utilities, Waste Management","Aiken, SC"
Function Test Station Process Computer System (PCS) Replacement,"Nuclear Technology, High Performance Computing and Advanced Computer Hardware and Software, Data Storage and Data Management","Aiken, SC"
Benchtop Distillation and Recovery of Volatile Solvents,"Research and Development, Waste Management, Biomass","Aiken, SC"
Installation of Kurz Flowmeter in Plant Air System,Utilities,"Aiken, SC"
Excavation/Replacement of 218-H Cooling Tower Make-up Isolation Valve HQ-234000-DW-V-80.018,"Water Resources - Irrigation and Water Supply, Utilities, Manufacturing","Aiken, SC"
Materials and Fuels Complex Temporary Office Trailers,"Land Development - Other, Utilities, Water Resources - Irrigation and Water Supply, Waste Management","Butte, ID"
772-25B Renovation,"Land Development - Other, Research and Development, Utilities","Aiken, SC"
Design and Replace TEF Glovebox Panametrics and Teledyne with Manufacturer Recommended Model,Nuclear Technology,"Aiken, SC"
Rebuild Kamer Valve HTN.153F,"Nuclear Technology, Manufacturing, Utilities","Aiken, SC"
703-46A Replace Fire Alarm System,Utilities,"Aiken, SC"
Repair of Sinkhole and Remove Grass from East of 234-H Main Side Air Handling Unit,"Land Development - Other, Vegetation and Fuels Management, Nuclear Technology","Aiken, SC"
Liteye CUAS Testing,"Research and Development, Military and Defense, Cybersecurity, Aviation - Airports and Air Traffic, Land Development - Other, Utilities, Waste Management","Butte, ID"
General Building Maintenance Activities in the SRTE Limited Area,"Nuclear Technology, Routine Maintenance","Aiken, SC"
Materials and Fuels Complex (MFC) Fire Water Replacement and Upgrades,"Water Resources - Irrigation and Water Supply, Waste Management, Land Development - Other, Utilities, Electricity Transmission","Butte, ID"
Central Facilities Area (CFA)-696 Compressed Air System Upgrade,"Utilities, Manufacturing, Waste Management","Butte, ID"
Replacement of Air Compressors - Building 775-A,"Manufacturing, Nuclear Technology, Utilities","Aiken, SC"
Providing electrical power to proposed SCDHEC air monitoring location for Environmental Baseline Monitoring for the project,"Research and Development, Electricity Transmission","Aiken, SC"
Unmanned Aerial System Testing,"Aviation - Airports and Air Traffic, Research and Development, Electricity Transmission, Land Development - Other, Waste Management, Utilities","Butte, ID"
Paint 253-1H Switchgear Exterior,Electricity Transmission,"Aiken, SC"
