Technology,Categorical Exclusion,Environmental Assessment,Environmental Impact Statement,Total
"Utilities (electricity, gas, telecommunications)",9744,218,195,10157
Electricity Transmission,7038,269,390,7697
Renewable Energy Production - Solar,2276,88,119,2483
Renewable Energy Production - Energy Storage,1693,51,31,1775
Carbon Capture and Sequestration,1318,8,1,1327
Nuclear Technology,1220,36,58,1314
Renewable Energy Production - Biomass,1194,38,17,1249
Conventional Energy Production - Other,908,12,15,935
Renewable Energy Production - Other,895,10,14,919
Renewable Energy Production - Geothermal,819,24,30,873
"Renewable Energy Production - Wind, Onshore",582,70,80,732
Conventional Energy Production - Nuclear,185,14,102,301
Renewable Energy Production - Hydropower,178,17,103,298
"Renewable Energy Production - Wind, Offshore",199,5,31,235
Renewable Energy Production - Hydrokinetic,225,7,2,234
