Department,Categorical Exclusion,Environmental Assessment,Environmental Impact Statement,Total
Department of Energy,16151,338,241,16730
Department of the Interior,3213,212,244,3669
Other Independent Agencies,0,1,93,94
Department of Agriculture,40,11,41,92
Major Independent Agencies,0,3,30,33
Department of Defense,2,1,15,18
Department of Transportation,2,1,7,10
General Services Administration,3,0,7,10
Department of Homeland Security,4,1,4,9
Department of Health and Human Services,0,1,3,4
Department of Housing and Urban Development,0,1,1,2
Department of Commerce,1,0,0,1
Department of State,0,0,1,1
Department of Veterans Affairs,0,0,1,1
Department of the Treasury,0,0,1,1
Total,19416,570,689,20675
