State,Categorical Exclusion,Environmental Impact Statement,Environmental Assessment,Total
South Carolina,2000,16,8,2024
Washington,1748,81,43,1872
California,1474,173,87,1734
Oregon,1205,67,31,1303
Colorado,1149,37,34,1220
Idaho,838,74,50,962
Arizona,791,65,88,944
Nevada,791,97,21,909
Wyoming,638,43,7,688
Texas,576,12,14,602
New Mexico,490,36,13,539
New York,511,20,8,539
Utah,470,38,7,515
Pennsylvania,462,8,6,476
Illinois,439,9,12,460
Montana,312,40,6,358
Virginia,332,16,4,352
North Carolina,335,11,2,348
Alaska,291,15,26,332
Michigan,319,4,8,331
Massachusetts,313,13,3,329
Ohio,299,7,14,320
Florida,263,13,5,281
Wisconsin,254,6,3,263
Tennessee,217,25,7,249
Georgia,201,15,6,222
Nebraska,203,11,5,219
Missouri,201,6,4,211
Oklahoma,195,4,3,202
West Virginia,200,1,0,201
Connecticut,198,0,0,198
New Jersey,180,13,4,197
Maryland,169,13,0,182
North Dakota,160,11,11,182
Minnesota,157,15,7,179
Kansas,142,5,5,152
Indiana,132,4,3,139
Alabama,106,19,0,125
District Of Columbia,114,1,0,115
Louisiana,102,4,5,111
Iowa,101,5,2,108
Kentucky,99,6,3,108
Maine,96,3,7,106
South Dakota,76,13,12,101
Vermont,87,8,3,98
Hawaii,85,5,3,93
Arkansas,79,5,6,90
Delaware,78,2,0,80
New Hampshire,70,8,1,79
Mississippi,69,5,3,77
Rhode Island,53,10,1,64
Total,19870,1118,601,21589
