project_title,type,date,source,example
Right-of-Way Renewals,other,2020-12-17,"Project Maps PacifiCorp Renewal UTU-65456 Map Created Dec 17, 2020 Cedar City Field Office Color Country BLM",1
Right-of-Way Renewals,other,2020-12-22,"4 Miles PacifiCorp Renewal UTU-66885 Map Created Dec 22, 2020 Cedar City Field Office Color Country BLM",1
Right-of-Way Renewals,initiation,2020-12-31,"This authorization was issued in August of 1990 and is set to expire on December 31, 2020. The renewal would re-authorize this",1
Right-of-Way Renewals,decision,2021-01-05,Rationale: The proposed authorization would be in conformance with all known environmental laws or requirements under the proposed terms and conditions. Initial and Date: BC 01/05/2021 2.,1
Right-of-Way Renewals,review,2021-01-05,decision in principal about future actions with potentially significant environmental effects. All future actions would be considered independently. Initial and Date: BC 01/05/2021 2. 6.,1
Right-of-Way Renewals,decision,2021-01-07,"Initial and Date: D. S. 1/7/21 Erica Shotwell, Rangeland Management Specialist (wetlands, floodplains)",1
Right-of-Way Renewals,decision,2021-01-11,"is within existing ROWs and has been previously disturbed. Initial and Date: RWP 1/11/2021 David Jacobson, Recreation Specialist",1
Right-of-Way Renewals,review,2021-01-11,Rationale: The proposed action would not limit access to any known sites nor affect the physical integrity of such Initial and Date: RWP 1/11/2021 2.,1
Right-of-Way Renewals,decision,2021-02-04,E. S. 02/04/2021 2. 3 Would not have highly controversial environmental effects or involve unresolved,1
Right-of-Way Renewals,other,2021-02-09,"Bureau of Land Management Categorical Exclusion DOI-BLM-UT-C010-2021-0006-CX February 9, 2021 PacifiCorp dba Rocky Mtn. Power",1
Right-of-Way Renewals,decision,2021-02-09,Authorizing Official: PAUL BRIGGS Digitally signed by PAUL BRIGGS Date: 2021. 02. 09 09:48:09 -07'00' Date: 2/9/2021 Paul N. Briggs Cedar City Field Manager,1
Right-of-Way Renewals,initiation,2021-04-30,"This authorization was issued in May of 1991 and is set to expire on April 30, 2021. The renewal would re-authorize this line until December 31, 2049.",1
