Department connections,Distinct Project Types,Total
"Department of Energy, Department of Defense","Electricity Transmission, Research and Development, Water Resources - Other, Cybersecurity, Emergency and Disaster Response, Land Development - Other, Laws, Policies, Regulations, and Guidance, Manufacturing, Military and Defense, Renewable Energy Production - Energy Storage, Renewable Energy Production - Other, Utilities, Waste Management",3
"Department of Energy, Department of Agriculture","Renewable Energy Production - Biomass, Waste Management, Ecosystem Management and Restoration, Electricity Transmission, Land Development - Other, Manufacturing, Research and Development, Water Resources - Other",2
"Department of Energy, Department of Commerce","Research and Development, Renewable Energy Production - Solar, Renewable Energy Production - Wind, Offshore, Renewable Energy Production - Wind, Onshore, Waste Management, Water Resources - Other",2
"Department of Energy, General Services Administration","Utilities, Data Storage and Data Management, High Performance Computing and Advanced Computer Hardware and Software, Renewable Energy Production - Solar, Waste Management",2
"Department of the Interior, Department of Energy","Utilities, Broadband, Electricity Transmission, Land Use or Forest Management Plan, Laws, Policies, Regulations, and Guidance, Surface Transportation - Other",2
"Department of the Interior, Department of Homeland Security","Renewable Energy Production - Solar, Waste Management, Emergency and Disaster Response, Land Development - Other, Military and Defense, Public and Recreational Land Use, Renewable Energy Production - Energy Storage, Utilities",2
"Department of Energy, Department of Housing and Urban Development","Ecosystem Management and Restoration, Land Development - Urban, Renewable Energy Production - Geothermal, Waste Management, Water Resources - Other",1
"Department of Energy, Department of State, International Assistance Programs","Renewable Energy Production - Solar, Renewable Energy Production - Wind, Onshore, Research and Development, Waste Management",1
"Department of Energy, Department of the Interior","Broadband, Electricity Transmission, Laws, Policies, Regulations, and Guidance, Utilities",1
"Department of Energy, Department of the Interior","Land Development - Other, Utilities, Water Resources - Other",1
"Department of Homeland Security, Department of Energy","Cybersecurity, Military and Defense, Research and Development, Utilities, Waste Management",1
"Department of Transportation, Department of the Interior","Electricity Transmission, Surface Transportation - Other",1
"Department of the Interior, Department of Agriculture","Electricity Transmission, Utilities",1
