State connections,Categorical Exclusion,Environmental Impact Statement,Environmental Assessment,Total
"Oregon, Washington",78,8,1,87
"Kansas, Missouri",47,3,0,50
"Colorado, New Mexico",40,3,0,43
"Virginia, West Virginia",27,1,0,28
"Nebraska, Nevada",21,0,0,21
"California, Nevada",6,11,3,20
"Arizona, California",9,5,4,18
"Arizona, California, Nevada",13,2,2,17
"Colorado, Washington",17,0,0,17
"Nebraska, Wyoming",11,0,2,13
"Idaho, Montana, Oregon, Washington",4,8,0,12
"Idaho, Washington",9,1,2,12
"Arizona, Colorado, Montana, Nebraska, New Mexico, Utah, Wyoming",10,0,0,10
"California, Idaho, Montana, Nevada, Oregon, Utah, Washington, Wyoming",8,2,0,10
"Arizona, New Mexico",3,6,0,9
"Colorado, Nebraska",9,0,0,9
"Colorado, Wyoming",8,1,0,9
"Arkansas, Washington",8,0,0,8
"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming",0,7,0,7
"California, Oregon",3,3,1,7
"Idaho, Montana",5,2,0,7
"Utah, Washington",7,0,0,7
"California, Connecticut, Delaware, Illinois, Kansas, Massachusetts, Minnesota, New York, North Carolina, South Carolina, Utah, Washington, West Virginia",6,0,0,6
"California, Nebraska",6,0,0,6
"Colorado, Utah",6,0,0,6
"Idaho, Nebraska",6,0,0,6
"Idaho, Oregon, Washington",2,3,1,6
"Rhode Island, Washington",5,1,0,6
"Arkansas, Missouri, Oklahoma",3,0,2,5
"Maine, Washington",3,1,1,5
"Vermont, Washington",3,0,2,5
"Arizona, California, Nevada, Utah",4,0,0,4
"Arizona, Nebraska",4,0,0,4
"Arkansas, California, Colorado, Connecticut, Georgia, Illinois, Indiana, Massachusetts, Michigan, New Jersey, North Carolina, Pennsylvania, Texas, Virginia, Wisconsin",4,0,0,4
"Colorado, Mississippi",4,0,0,4
"Colorado, Utah, Wyoming",0,4,0,4
"Delaware, Ohio",4,0,0,4
"Delaware, Pennsylvania",4,0,0,4
"Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota",1,3,0,4
"Montana, Oregon, Washington",4,0,0,4
"Nebraska, Utah",4,0,0,4
"New Jersey, New York",1,3,0,4
"Alabama, Georgia",0,3,0,3
"Arizona, California, Colorado, Nevada, New Mexico, Utah",0,3,0,3
"Arizona, Nevada, Utah",0,3,0,3
"Arizona, Nevada",1,2,0,3
"Colorado, Connecticut, Delaware, Iowa, Massachusetts, Minnesota, Missouri, New York, Pennsylvania, South Carolina, Tennessee",3,0,0,3
"Idaho, Wyoming",1,2,0,3
"Massachusetts, New York, Rhode Island",0,3,0,3
"Montana, Wyoming",2,0,1,3
"Nebraska, New Mexico",3,0,0,3
"Nebraska, Oregon",3,0,0,3
"Nevada, Utah",0,3,0,3
"Pennsylvania, West Virginia",3,0,0,3
"Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia",0,2,0,2
"Arizona, California, Colorado, Florida, Illinois, Massachusetts, Tennessee, Virginia",2,0,0,2
"Arizona, California, Colorado, Idaho, Nevada, New Mexico, Utah, Wyoming",0,2,0,2
"Arizona, California, Colorado, Nevada, New Mexico, Utah, Wyoming",0,2,0,2
"Arkansas, Oklahoma",1,1,0,2
"California, Colorado, District Of Columbia, Illinois, Michigan, Minnesota, Tennessee, Texas, Washington, West Virginia, Wisconsin",2,0,0,2
"California, Indiana",2,0,0,2
"California, Oregon, Washington",1,1,0,2
"Colorado, Montana, Nebraska, New Mexico, Utah, Wyoming",2,0,0,2
"Colorado, Nebraska, Utah",0,2,0,2
"Delaware, Maryland",0,2,0,2
"Florida, Georgia",2,0,0,2
"Idaho, Montana, Oregon, Washington, Wyoming",0,2,0,2
"Idaho, Oregon",0,2,0,2
"Idaho, South Carolina, Tennessee",0,2,0,2
"Illinois, Washington",2,0,0,2
"Iowa, Nevada",2,0,0,2
"Massachusetts, New Mexico",2,0,0,2
"Massachusetts, New York",1,1,0,2
"Massachusetts, Rhode Island",0,2,0,2
"Nevada, Oregon",1,0,1,2
"New Hampshire, Vermont",0,2,0,2
"New Mexico, South Carolina",0,0,2,2
"Ohio, Virginia, West Virginia",2,0,0,2
"Oregon, Pennsylvania, West Virginia",2,0,0,2
"South Dakota, Wyoming",0,2,0,2
"Washington, Wisconsin",2,0,0,2
"Alabama, Alaska, California, Colorado, Connecticut, Delaware, District Of Columbia, Florida, Georgia, Hawaii, Illinois, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Mexico, New York, North Carolina, Oregon, Pennsylvania, Texas, Washington, Wisconsin",1,0,0,1
"Alabama, California, Colorado, Connecticut, Indiana, Iowa, Maryland, Massachusetts, Minnesota, Montana, New Jersey, New Mexico, New York, North Carolina, Pennsylvania, Tennessee, Texas, Washington, Wisconsin",1,0,0,1
"Alabama, California, Colorado, Illinois, Maine, Maryland, Massachusetts, Michigan, New Jersey, New Mexico, New York, Rhode Island, Texas, Utah, Virginia, Washington",1,0,0,1
"Alabama, California, Indiana, Ohio",1,0,0,1
"Alabama, Florida, Georgia",0,1,0,1
"Alabama, Georgia, Kentucky, Mississippi, North Carolina, Tennessee, Virginia",0,1,0,1
"Alabama, Tennessee",0,1,0,1
"Alaska, Arizona, California, Colorado, Florida, Georgia, Illinois, Indiana, Maine, Massachusetts, Michigan, New York, North Carolina, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Washington, Wisconsin",1,0,0,1
"Alaska, California, Colorado, Georgia, Illinois, Maine, Maryland, Massachusetts, Michigan, New Hampshire, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Tennessee, Texas, Virginia, Washington, Wisconsin",1,0,0,1
"Alaska, Hawaii",0,1,0,1
"Alaska, Nebraska",1,0,0,1
"Alaska, Oregon",1,0,0,1
"Arizona, California, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming",0,1,0,1
"Arizona, California, Idaho, Nevada, Oregon, Washington",0,1,0,1
"Arizona, Colorado, Nevada, New Mexico, Utah, Wyoming",0,1,0,1
"Arizona, Colorado, Nevada, Utah, Wyoming",0,1,0,1
"Arizona, Colorado, New Mexico",1,0,0,1
"Arizona, Idaho",1,0,0,1
"Arizona, Utah",1,0,0,1
"Arkansas, California, Colorado, Connecticut, Florida, Illinois, Kansas, Michigan, Nebraska, New Hampshire, New Jersey, North Carolina, Ohio, Oklahoma, Utah, Wisconsin",1,0,0,1
"Arkansas, Kansas, Louisiana, Missouri, Oklahoma, Texas",0,0,1,1
"Arkansas, Kansas, Missouri, Oklahoma",1,0,0,1
"Arkansas, Mississippi",1,0,0,1
"Arkansas, Oklahoma, Tennessee, Texas",0,1,0,1
"Arkansas, Oklahoma, Tennessee",0,1,0,1
"Arkansas, Oklahoma, Texas",0,1,0,1
"California, Colorado, Connecticut, Delaware, Iowa, Massachusetts, Minnesota, Missouri, New York, Pennsylvania, South Carolina, Tennessee",1,0,0,1
"California, Colorado, Connecticut, Georgia, Illinois, New Mexico, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, Wisconsin",1,0,0,1
"California, Colorado, Connecticut, Massachusetts, Michigan, Ohio, Tennessee",1,0,0,1
"California, Colorado, Georgia, Illinois, Indiana, Maine, Massachusetts, Michigan, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Texas, Washington, Wisconsin",1,0,0,1
"California, Colorado, Illinois, Indiana, Louisiana, Maryland, Massachusetts, Michigan, New Mexico, Ohio, Pennsylvania, Texas, Virginia, Washington",1,0,0,1
"California, Colorado",1,0,0,1
"California, Connecticut, Maine, Massachusetts, Michigan, New Hampshire",1,0,0,1
"California, Connecticut, South Carolina",1,0,0,1
"California, Georgia, Louisiana, South Carolina",1,0,0,1
"California, Idaho, Montana, Oregon, Utah, Washington, Wyoming",0,1,0,1
"California, Idaho, Montana, Oregon, Washington, Wyoming",1,0,0,1
"California, Idaho, Oregon, Washington",0,1,0,1
"California, Illinois, Iowa, Maryland, Wyoming",1,0,0,1
"California, Iowa",1,0,0,1
"California, Massachusetts, New York",1,0,0,1
"California, Michigan",1,0,0,1
"California, Minnesota, New Mexico",1,0,0,1
"California, Minnesota",0,1,0,1
"California, Mississippi",1,0,0,1
"California, Missouri, Ohio, South Carolina",1,0,0,1
"California, Missouri",1,0,0,1
"California, New Hampshire",1,0,0,1
"California, Pennsylvania",1,0,0,1
"Colorado, Florida, Georgia, Illinois, Massachusetts, Michigan, Mississippi, New York, Pennsylvania, Tennessee, Texas, Washington",1,0,0,1
"Colorado, Georgia, Illinois, Indiana, Maine, Massachusetts, Michigan, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Texas, Washington, Wisconsin",1,0,0,1
"Colorado, Georgia, Illinois, Indiana, Maine, Massachusetts, Michigan, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Texas, Wisconsin",1,0,0,1
"Colorado, Illinois, New Mexico",1,0,0,1
"Colorado, Kansas, Nebraska, Wyoming",1,0,0,1
"Colorado, Kansas",0,1,0,1
"Colorado, Minnesota",1,0,0,1
"Colorado, Nevada, Utah, Wyoming",0,1,0,1
