Project Title,State Footprint,Number of States,Project Types
MacroAlgae Research Inspiring Novel Energy Resources (MARINER) Program (FOA No. DE-FOA-0001726),"Alabama, Alaska, California, Colorado, Connecticut, Delaware, District Of Columbia, Florida, Georgia, Hawaii, Illinois, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Mexico, New York, North Carolina, Oregon, Pennsylvania, Texas, Washington, Wisconsin",25,"Renewable Energy Production - Biomass, Research and Development, Agriculture, Waste Management, Water Resources - Other"
Harnessing Emissions into Structures Taking Inputs from the Atmosphere (HESTIA) Program,"Alaska, Arizona, California, Colorado, Florida, Georgia, Illinois, Indiana, Maine, Massachusetts, Michigan, New York, North Carolina, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Washington, Wisconsin",20,"Research and Development, Carbon Capture and Sequestration, Manufacturing, Waste Management, Land Development - Housing, Land Development - Urban"
Submarine Hydrokinetic and Riverine Kilo-Megawatt Systems SHARKS,"Alaska, California, Colorado, Georgia, Illinois, Maine, Maryland, Massachusetts, Michigan, New Hampshire, New Jersey, New Mexico, New York, Oregon, Pennsylvania, Tennessee, Texas, Virginia, Washington, Wisconsin",20,"Renewable Energy Production - Hydrokinetic, Research and Development, Waste Management, Water Resources - Other"
Nationwide Public Safety Broadband Network for the Non-Contiguous United States,"Alaska, Hawaii",2,"Broadband, Utilities, Emergency and Disaster Response"
"Campbell Creek Science Center, Exterior Power Restoration (Light Pole) Project","Alaska, Nebraska",2,"Electricity Transmission, Utilities"
"Aerodynamic Turbines, Lighter and Afloat, with Nautical Technologies and Integrated Servo-control (ATLANTIS) Program","Alabama, California, Colorado, Illinois, Maine, Maryland, Massachusetts, Michigan, New Jersey, New Mexico, New York, Rhode Island, Texas, Utah, Virginia, Washington",16,"Renewable Energy Production - Wind, Offshore, Research and Development, Waste Management, Artificial Intelligence and Machine Learning, High Performance Computing and Advanced Computer Hardware and Software"
Harnessing Emissions into Structures Taking Inputs from the Atmosphere (HESTIA) Program (FOA Numbers DE-FOA-0002625 and DE-FOA-0002626),"Colorado, Georgia, Illinois, Indiana, Maine, Massachusetts, Michigan, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Texas, Washington, Wisconsin",15,"Research and Development, Carbon Capture and Sequestration, Manufacturing, Waste Management, Land Development - Housing"
Cobscook Bay Tidal Energy Project,"Maine, Washington",2,"Renewable Energy Production - Hydrokinetic, Renewable Energy Production - Hydropower"
Bangor Hydro-Electric Company Northeast Reliability Interconnect,"Maine, Washington",2,Electricity Transmission
Underwater Active Acoustic Monitoring Support for Marine Hydrokinetic Energy Projects,"Maine, Washington",2,"Renewable Energy Production - Hydrokinetic, Research and Development, Manufacturing, Ecosystem Management and Restoration, Water Resources - Other"
