project_id,llm_primary,llm_secondary,confidence,rule_id,evidence_text,llm_run_at
001516b8-3a51-21c0-90a2-6cb509b6f6db,federal_program,,high,T5_llm,"Notice of Proposed Rulemaking for Energy Conservation Standards for Certain Reflector, Elliptical Reflector, and Bulged Reflector Incandescent Reflector Lamps (RIN: 1904-AC15) [""Proposed Action Description:\nIn this NOPR, DOE proposes to adopt new standards for the large diameter Incandescent Reflec",2026-07-21T02:07:50.558196+00:00
010108c1-19cc-f7f9-e30d-c397beec16b7,unknown,,low,T5_llm,"Novel Temperature Sensors and Wireless Telemetry for Active Condition Monitoring [""Brief Description of Activities: The objective of the PHASE 2 program is to develop and engine test hardware and software technologies that will enable active condition monitoring to be implemented on hot gas path tur",2026-07-21T02:07:52.947165+00:00
02dc149f73635659c010b14d39cca434,federal_funding,,high,T5_llm,"Public Law 111-5, 123 Stat. 115), the U.S. Department of Energy’s (DOE’s or the 
Department’s) National Energy Technology Laboratory (NETL), on behalf of the Office of 
Energy Efficiency and Renewable Energy’s Industrial Technologies Program, is providing up to 
$156 million in federal funding for c",2026-07-21T02:07:55.443983+00:00
0329440d-ef4a-ec11-870a-77f297b921f1,federal_land,federal_permit,high,T5_llm,"Xcel Energy W3477 Electric Line Rebuild [""**Proposal and Need for the Proposal**\nXcel Energy is rebuilding about forty miles of 69 kV transmission line from Prentice to Medford within their existing easement limits on private land and within the Chequamegon-Nicolet National Forest (CNNF). Xcel has ",2026-07-21T02:07:57.897271+00:00
0356ba3719558c4b981910b6ff1b6aaa,federal_direct_action,federal_permit,medium,T5_llm,"rface water regulations, including the Clean Water Act (CWA), Safe Drinking Water Act 
(SDWA), and the Rivers and Harbors Act, focus on rights to water usage and the protection of water 
quality. The CWA protects surface water quality, and Section 402 of the CWA establishes the 
National Pollutant D",2026-07-21T02:08:01.787910+00:00
03636948f5403e1791c6836a9bd81903,federal_property_transaction,federal_land,high,T5_llm,"e Keno 
Transfer is a transfer of title for the Keno Facility from PacifiCorp to the Bureau of 
Reclamation.  This transfer would not result in the generation of new environmental 
justice effects impacts compared with existing facility operations.  Following transfer of 
title, Bureau of Reclamatio",2026-07-21T02:08:04.863135+00:00
038b58fd-5c5d-2a58-00d9-725d4b12fbd0,federal_land,federal_direct_action,high,T5_llm,"SLAC Main Gate – Site Security and Access Improvement (SS-SC-23-01) [""Proposed Action Description:\nRedesign of SLAC's main entrance to enhance safety and meet new security needs, including demolition of existing main gate guardhouse\n(B083), construction of a new 225 sq. ft. steel-frame building on",2026-07-21T02:08:07.003694+00:00
03f75c6948b611ee474defbde4d6e8bd,federal_land,federal_permit,high,T5_llm,"United States Marine Corps Grow the Force at Marine Corps Base Camp Lejeune, Marine Corps Air Station New River and Marine Corps Air Station Cherry Point, North Carolina . Development activities have the potential to directly and/or indirectly affect aquatic habitats, wetlands, water quality associa",2026-07-21T02:08:09.571010+00:00
04617e62e013bf56d25d36e15b34d391,federal_permit,federal_land,high,T5_llm,"Sunrise Wind Project for the Proposed Action In Executive Order 14008, Tackling the Climate Crisis at Home and Abroad, issued January 27, 2021, President Biden stated that it is the policy of the United States “to organize and deploy the full capacity of its agencies to combat the climate crisis to ",2026-07-21T02:08:12.336005+00:00
04d484228acc3cc26324e7e8b45fb57a,unknown,,low,T5_llm,Arkansas River Navigation Study,2026-07-21T02:08:16.026774+00:00
04e48616bb4014bf6fd752128eca6ac8,federal_direct_action,federal_permit,medium,T5_llm,"ic substations, but due to the spacing of electrical equipment, measured 
field strengths are generally low and below recommended standards outside the fence line of the 
substation. Electrical fields near substations are mainly produced by the entering and exiting 
power lines (Western Area Power A",2026-07-21T02:08:18.686952+00:00
0573e1b2-41dd-115e-14e2-86f352ba885b,federal_funding,,high,T5_llm,"Retrofit for Traffic Signals [""Proposed Action or Project Description: The City of Fairmont's strategy focuses on one EECBG project activity: 5) the \""Energy Efficient Retrofits\"" as described by the EECBG Program. The EECBG project activity will support the City's efforts to obtain greater energy e",2026-07-21T02:08:20.702699+00:00
05de6480-3568-656d-d89c-d0c5eda5b05a,federal_funding,,high,T5_llm,"City of Panama City Lighting Replacement Program [""Proposed Action or Project Description: The City has already converted its traffic signals to LEDs. Since then the City has explored various other lighting options to reduce to energy\nconsumption and costs. The City will utilize the EECBG funds to ",2026-07-21T02:08:22.678273+00:00
06ba6f99b486baaf81574849c0524509,federal_direct_action,federal_funding,high,T5_llm,"eet deep 
by 125 feet wide. The GIWW West Matagorda Bay section (channel mile 454 to 473) is proposed to be rerouted 
from its original course to one farther north for safety and maneuverability. Dredging activities for the Matagorda 
Bay reroute have not started and are pending Federal funding (USA",2026-07-21T02:08:25.117751+00:00
07044d23-88d3-aca0-7666-e394b47d787b,federal_program,,high,T5_llm,"Notice of Proposed Rulemaking (NOPR) for Energy Conservation Standards for Commercial Refrigeration Equipment [""Proposed Action Description:\nDOE proposes to adopt amended energy conservation standards for commercial refrigeration equipment. The proposed standards consist of\nmaximum daily energy co",2026-07-21T02:08:27.088775+00:00
07c1c85d-2764-a863-a61f-1dc1a8ca4d85,unknown,,low,T5_llm,"Geological Sequestration Fundamental Research [""Brief Description of Activities: The main research activities included in this project are measurements of visible/infrared/Raman spectra of solid geological materials exposed to various gases/fluids to identify sorption products, manometric quantifica",2026-07-21T02:08:29.101939+00:00
08136f95edbbccf4220578f4e2861a99,unknown,,low,T5_llm,"pment within the corridor, and to serve as a means of obtaining 
necessary funds while producing a coherent vision for the future. 
 
The concept of the corridor is to broaden the economic base of the region by developing a 
diversified development strategy and to integrate past federal facility-rel",2026-07-21T02:08:31.793154+00:00
08cbf879-3e74-32af-964b-5bc0d96e326b,federal_direct_action,,low,T5_llm,"Catalyst Science and Engineering Laboratory (CSEL) [""Brief Description of Activities: The CSEL is a flexible, multi-user facility for developing materials used in catalysis, chemical looping combustion, CO2 adsorbents/absorbents, H2 generation, gas cleanup, and solid oxide fuel cells.""]",2026-07-21T02:08:35.349077+00:00
090f51c6208da9db8f92d57923bcedd2,federal_land,federal_permit,high,T5_llm,"CB-97-432 
1997/664 
Smoky Canyon Panel B Exploration, Caribou 
National Forest. 
Robertson, Mary 
(USFS) 
1997 
CB-97-434 
1997/851 
Simplot Smoky Canyon Phosphate 
Exploration BLM Report. BLM, Idaho Falls 
District. 
Cresswell, Lisa (BLM) 
1997 
ID-030-97-8 
1998/58 
Hartman Land Exchange. BLM, Id",2026-07-21T02:08:38.656615+00:00
0937f67244dd987d646b6998b0458635,unknown,,low,T5_llm,BP Solar Array Project .................................................................................................... 12 4.0,2026-07-21T02:08:40.905003+00:00
095ab6dc0bb2de0eee475fe6be35604e,federal_land,federal_direct_action,medium,T5_llm,"Operation of a Biosafety Level 3 Facility at Los Alamos National Laboratory, Los Alamos, New Mexico . Rating LO.",2026-07-21T02:08:42.880982+00:00
096ef692684b8e9cbf01b629b77f96b6,federal_land,,high,T5_llm,"Hagerman Fossil Beds National Monument, Twin Falls and Gooding Counties, Idaho",2026-07-21T02:08:44.489417+00:00
