"project_technology","n_total","n_multi","pct_multi"
"Transmission",5869,1238,0.210938831146703
"Wind (Offshore)",202,21,0.103960396039604
"Hydropower",252,26,0.103174603174603
"Nuclear",138,6,0.0434782608695652
"Hydrokinetic",222,8,0.036036036036036
"Utilities",4677,163,0.034851400470387
"Wind (Onshore)",546,13,0.0238095238095238
"Nuclear Technology",1133,25,0.0220653133274493
"Solar",2181,35,0.0160476845483723
"Geothermal",759,6,0.00790513833992095
"Carbon Capture & Storage",1252,8,0.00638977635782748
"Biomass",1108,7,0.00631768953068592
"Renewable (Other)",739,1,0.0013531799729364
"Energy Storage",1158,0,0
