"combo_label","n","pct_of_multi","pct_of_all"
"PMA/TVA + Land",1310,0.840282232200128,0.0632086851628468
"Land + Permit",111,0.0711994868505452,0.00535585042219542
"Direct Action + Land",34,0.0218088518280949,0.00164053075995175
"Permit + Funding",21,0.013470173187941,0.00101326899879373
"Direct Action + Permit",16,0.0102629890955741,0.000772014475271411
"Direct Action + Funding",10,0.0064143681847338,0.000482509047044632
"Land + Funding",8,0.00513149454778704,0.000386007237635706
"PMA/TVA + Land + Permit",7,0.00449005772931366,0.000337756332931242
"Program + Funding",7,0.00449005772931366,0.000337756332931242
"Direct Action + Property Transaction",6,0.00384862091084028,0.000289505428226779
"Property Transaction + Land",5,0.0032071840923669,0.000241254523522316
"Direct Action + Land + Permit",4,0.00256574727389352,0.000193003618817853
"Program + Land",4,0.00256574727389352,0.000193003618817853
"Program + Direct Action",3,0.00192431045542014,0.00014475271411339
"Program + Permit",3,0.00192431045542014,0.00014475271411339
"Property Transaction + Permit",3,0.00192431045542014,0.00014475271411339
"Direct Action + Permit + Funding",2,0.00128287363694676,9.65018094089264e-05
"Land + Permit + Funding",2,0.00128287363694676,9.65018094089264e-05
"PMA/TVA + Permit",2,0.00128287363694676,9.65018094089264e-05
"Property Transaction + Funding",1,0.00064143681847338,4.82509047044632e-05
