shared_resource_area,determination_class,n,n_suppressed
project_wide,no_significant_impact,158,FALSE
biological,no_significant_impact,131,FALSE
cultural,no_significant_impact,123,FALSE
public_health,no_significant_impact,103,FALSE
biological,less_than_significant_with_mitigation,92,FALSE
water,no_significant_impact,90,FALSE
biological,less_than_significant,85,FALSE
land_use,no_significant_impact,77,FALSE
visual,less_than_significant,66,FALSE
air_quality,less_than_significant,64,FALSE
land_use,less_than_significant,60,FALSE
socioeconomic,no_significant_impact,59,FALSE
water,less_than_significant,59,FALSE
public_health,less_than_significant,58,FALSE
air_quality,no_significant_impact,54,FALSE
water,less_than_significant_with_mitigation,53,FALSE
socioeconomic,less_than_significant,49,FALSE
soils_geology,less_than_significant,47,FALSE
visual,no_significant_impact,46,FALSE
unknown,no_significant_impact,43,FALSE
cultural,less_than_significant_with_mitigation,42,FALSE
soils_geology,no_significant_impact,39,FALSE
transportation,less_than_significant,39,FALSE
noise,less_than_significant,38,FALSE
noise,no_significant_impact,37,FALSE
soils_geology,less_than_significant_with_mitigation,34,FALSE
climate_ghg,no_significant_impact,33,FALSE
climate_ghg,less_than_significant,31,FALSE
cultural,less_than_significant,29,FALSE
public_health,less_than_significant_with_mitigation,26,FALSE
transportation,no_significant_impact,23,FALSE
air_quality,less_than_significant_with_mitigation,14,FALSE
unknown,less_than_significant,14,FALSE
visual,less_than_significant_with_mitigation,14,FALSE
noise,less_than_significant_with_mitigation,8,FALSE
project_wide,less_than_significant,7,FALSE
biological,significant_adverse,5,FALSE
land_use,less_than_significant_with_mitigation,5,FALSE
project_wide,less_than_significant_with_mitigation,5,FALSE
unknown,less_than_significant_with_mitigation,5,FALSE
cultural,significant_adverse,4,TRUE
transportation,less_than_significant_with_mitigation,4,TRUE
public_health,significant_adverse,3,TRUE
socioeconomic,less_than_significant_with_mitigation,3,TRUE
socioeconomic,significant_adverse,3,TRUE
land_use,significant_adverse,2,TRUE
soils_geology,significant_adverse,2,TRUE
visual,significant_adverse,2,TRUE
water,significant_adverse,1,TRUE
water,significant_unavoidable,1,TRUE
