"nepa_trigger_primary","ce_code","n"
"federal_direct_action","B1.3",1020
"federal_direct_action","B3.6",512
"federal_direct_action","B1.15",220
"federal_direct_action","B1.31",164
"federal_direct_action","B2.2",120
"federal_funding","B3.6",3400
"federal_funding","B5.1",1806
"federal_funding","B3.1",551
"federal_funding","A9, A11",484
"federal_funding","A9",478
"federal_land","516 DM 11.9",2173
"federal_land","516 DM 2",293
"federal_land","516 DM 11.9.",196
"federal_land","43 CFR 46.210",94
"federal_land","516 DM 11",80
"federal_permit","B4.2",158
"federal_permit","B3.1",3
"federal_permit","B5.25",3
"federal_permit","B1.24",2
"federal_permit","B1.31",1
"federal_program","B3.6",199
"federal_program","B5.1",30
"federal_program","B1.7",19
"federal_program","B1.15",17
"federal_program","B2.2",15
"federal_property_transaction","B1.24",23
"federal_property_transaction","B1.3",3
"federal_property_transaction","B1.7",3
"federal_property_transaction","B4.9",3
"federal_property_transaction","A1",2
"pma","B1.3",1640
"pma","B4.6",350
"pma","B4.11",188
"pma","B1.19",173
"pma","B4.9",116
"unknown","B3.6",15
"unknown","B1.3",5
"unknown","B.3.10",1
"unknown","B1.15",1
"unknown","B1.23",1
