"energy_group","project_state","n_projects"
"Decarbonization","Alabama",125
"Decarbonization","Alaska",332
"Decarbonization","Arizona",944
"Decarbonization","Arkansas",90
"Decarbonization","California",1734
"Decarbonization","Colorado",1220
"Decarbonization","Connecticut",198
"Decarbonization","Delaware",80
"Decarbonization","District Of Columbia",115
"Decarbonization","Florida",281
"Decarbonization","Georgia",222
"Decarbonization","Hawaii",93
"Decarbonization","Idaho",962
"Decarbonization","Illinois",460
"Decarbonization","Indiana",139
"Decarbonization","Iowa",108
"Decarbonization","Kansas",152
"Decarbonization","Kentucky",108
"Decarbonization","Louisiana",111
"Decarbonization","Maine",106
"Decarbonization","Maryland",182
"Decarbonization","Massachusetts",329
"Decarbonization","Michigan",331
"Decarbonization","Minnesota",179
"Decarbonization","Mississippi",77
"Decarbonization","Missouri",211
"Decarbonization","Montana",358
"Decarbonization","Nebraska",219
"Decarbonization","Nevada",909
"Decarbonization","New Hampshire",79
"Decarbonization","New Jersey",197
"Decarbonization","New Mexico",539
"Decarbonization","New York",539
"Decarbonization","North Carolina",348
"Decarbonization","North Dakota",182
"Decarbonization","Ohio",320
"Decarbonization","Oklahoma",202
"Decarbonization","Oregon",1303
"Decarbonization","Pennsylvania",476
"Decarbonization","Rhode Island",64
"Decarbonization","South Carolina",2024
"Decarbonization","South Dakota",101
"Decarbonization","Tennessee",249
"Decarbonization","Texas",602
"Decarbonization","Utah",515
"Decarbonization","Vermont",98
"Decarbonization","Virginia",352
"Decarbonization","Washington",1872
"Decarbonization","West Virginia",201
"Decarbonization","Wisconsin",263
"Decarbonization","Wyoming",688
"Fossil Fuel","Alabama",65
"Fossil Fuel","Alaska",281
"Fossil Fuel","Arizona",141
"Fossil Fuel","Arkansas",20
"Fossil Fuel","California",906
"Fossil Fuel","Colorado",764
"Fossil Fuel","Connecticut",37
"Fossil Fuel","Delaware",9
"Fossil Fuel","District Of Columbia",12
"Fossil Fuel","Florida",52
"Fossil Fuel","Georgia",34
"Fossil Fuel","Hawaii",6
"Fossil Fuel","Idaho",143
"Fossil Fuel","Illinois",86
"Fossil Fuel","Indiana",50
"Fossil Fuel","Iowa",7
"Fossil Fuel","Kansas",47
"Fossil Fuel","Kentucky",54
"Fossil Fuel","Louisiana",247
"Fossil Fuel","Maine",5
"Fossil Fuel","Maryland",28
"Fossil Fuel","Massachusetts",41
"Fossil Fuel","Michigan",54
"Fossil Fuel","Minnesota",17
"Fossil Fuel","Mississippi",53
"Fossil Fuel","Missouri",21
"Fossil Fuel","Montana",197
"Fossil Fuel","Nebraska",71
"Fossil Fuel","Nevada",141
"Fossil Fuel","New Hampshire",10
"Fossil Fuel","New Jersey",33
"Fossil Fuel","New Mexico",2391
"Fossil Fuel","New York",65
"Fossil Fuel","North Carolina",60
"Fossil Fuel","North Dakota",373
"Fossil Fuel","Ohio",111
"Fossil Fuel","Oklahoma",151
"Fossil Fuel","Oregon",148
"Fossil Fuel","Pennsylvania",130
"Fossil Fuel","Rhode Island",6
"Fossil Fuel","South Carolina",162
"Fossil Fuel","South Dakota",35
"Fossil Fuel","Tennessee",42
"Fossil Fuel","Texas",428
"Fossil Fuel","Utah",406
"Fossil Fuel","Vermont",2
"Fossil Fuel","Virginia",61
"Fossil Fuel","Washington",141
"Fossil Fuel","West Virginia",82
"Fossil Fuel","Wisconsin",32
"Fossil Fuel","Wyoming",2577
