process_type,timeline_status,n,total_process,pct
CE,complete_clear,12712,54668,23.3
CE,complete_with_proxy,15692,54668,28.7
CE,invalid_order,1414,54668,2.6
CE,manual_review,98,54668,0.2
CE,missing_both,2579,54668,4.7
CE,missing_decision,2697,54668,4.9
CE,missing_initiation,19476,54668,35.6
EA,complete_clear,1594,3083,51.7
EA,complete_with_proxy,148,3083,4.8
EA,invalid_order,56,3083,1.8
EA,missing_both,363,3083,11.8
EA,missing_decision,262,3083,8.5
EA,missing_initiation,660,3083,21.4
EIS,complete_clear,428,4130,10.4
EIS,complete_with_proxy,904,4130,21.9
EIS,invalid_order,155,4130,3.8
EIS,missing_both,1283,4130,31.1
EIS,missing_decision,1098,4130,26.6
EIS,missing_initiation,262,4130,6.3
