process_group,energy_type,coverage_group,n,pct
CE,Decarb,Complete timeline,9074,0.46775606990051033
CE,Decarb,Both dates (unusable),480,0.024743543481622766
CE,Decarb,Decision only,9023,0.46512706840558793
CE,Decarb,Initiation only,434,0.022372287231300584
CE,Decarb,No date,388,0.020001030980978402
CE,Fossil,Complete timeline,5028,0.5470569034925471
CE,Fossil,Both dates (unusable),971,0.10564682841910565
CE,Fossil,Decision only,1643,0.17876183222717876
CE,Fossil,Initiation only,817,0.0888913067130889
CE,Fossil,No date,732,0.07964312914807964
CE,Other,Complete timeline,13173,0.5051384308612624
CE,Other,Both dates (unusable),1190,0.04563233376792699
CE,Other,Decision only,8810,0.3378326558785183
CE,Other,Initiation only,1446,0.05544903750287599
CE,Other,No date,1459,0.055947541989416365
EA,Decarb,Complete timeline,260,0.4537521815008726
EA,Decarb,Both dates (unusable),14,0.02443280977312391
EA,Decarb,Decision only,134,0.2338568935427574
EA,Decarb,Initiation only,86,0.15008726003490402
EA,Decarb,No date,79,0.13787085514834205
EA,Fossil,Complete timeline,758,0.782249742002064
EA,Fossil,Both dates (unusable),11,0.011351909184726523
EA,Fossil,Decision only,94,0.09700722394220847
EA,Fossil,Initiation only,51,0.05263157894736842
EA,Fossil,No date,55,0.05675954592363261
EA,Other,Complete timeline,718,0.46593121349772876
EA,Other,Both dates (unusable),37,0.024010382868267358
EA,Other,Decision only,432,0.28033744321868914
EA,Other,Initiation only,125,0.08111615833874107
EA,Other,No date,229,0.14860480207657364
EIS,Decarb,Complete timeline,298,0.39575033200531207
EIS,Decarb,Both dates (unusable),26,0.034528552456839307
EIS,Decarb,Decision only,48,0.06374501992031872
EIS,Decarb,Initiation only,223,0.2961487383798141
EIS,Decarb,No date,158,0.2098273572377158
EIS,Fossil,Complete timeline,271,0.434991974317817
EIS,Fossil,Both dates (unusable),24,0.038523274478330656
EIS,Fossil,Decision only,32,0.051364365971107544
EIS,Fossil,Initiation only,167,0.2680577849117175
EIS,Fossil,No date,129,0.20706260032102727
EIS,Other,Complete timeline,760,0.27596223674655046
EIS,Other,Both dates (unusable),108,0.0392156862745098
EIS,Other,Decision only,182,0.06608569353667393
EIS,Other,Initiation only,708,0.2570806100217865
EIS,Other,No date,996,0.3616557734204793
