process_type,ceq_regime,n,median_days,p10_days,p25_days,p75_days,p90_days,mean_days,pct_lt_1y,pct_gt_5y,median_months,p10_months,p90_months,anchor,regime_level,display
CE,1978,17223,18.0,1.0,5.0,86.0,412.8000000000011,184.82145967601463,0.8857341926493643,0.013644545085060675,0.6,0.0,13.6,decision,collapsed,True
CE,1978,17223,18.0,1.0,5.0,86.0,412.8000000000011,184.82145967601463,0.8857341926493643,0.013644545085060675,0.6,0.0,13.6,decision,fine,True
CE,2020_trump,4879,21.0,3.0,9.0,68.0,355.1999999999998,159.70547243287558,0.9018241442918631,0.00860832137733142,0.7,0.1,11.7,decision,collapsed,True
CE,2020_trump,4879,21.0,3.0,9.0,68.0,355.1999999999998,159.70547243287558,0.9018241442918631,0.00860832137733142,0.7,0.1,11.7,decision,fine,True
CE,2022_phase1,5127,25.0,4.0,10.0,92.0,441.0,166.82504388531305,0.8858981860737273,0.007021650087770626,0.8,0.1,14.5,decision,collapsed,True
CE,2022_phase1,5127,25.0,4.0,10.0,92.0,441.0,166.82504388531305,0.8858981860737273,0.007021650087770626,0.8,0.1,14.5,decision,fine,True
CE,2024_phase2_plus,46,1114.5,357.5,555.5,2026.0,2586.5,1347.5,0.15217391304347827,0.2826086956521739,36.6,11.7,85.0,decision,collapsed,True
CE,2024_phase2,28,829.0,353.6,364.75,1672.75,2401.5,1156.4642857142858,0.25,0.25,27.2,11.6,78.9,decision,fine,False
CE,2025_rescission,18,1202.0,829.1,1002.0,2289.0,2940.7000000000007,1644.6666666666667,0.0,0.3333333333333333,39.5,27.2,96.6,decision,fine,False
CE,1978_recent_2015_2020,11474,18.0,1.0,6.0,76.0,364.0,181.21605368659579,0.9004706292487362,0.015600488059961653,0.6,0.0,12.0,decision,sensitivity,True
EA,1978,1096,121.5,21.5,40.75,373.25,830.0,360.4178832116788,0.7472627737226277,0.030109489051094892,4.0,0.7,27.3,decision,collapsed,True
EA,1978,1096,121.5,21.5,40.75,373.25,830.0,360.4178832116788,0.7472627737226277,0.030109489051094892,4.0,0.7,27.3,decision,fine,True
EA,2020_trump,290,67.0,11.0,21.0,175.75,693.0,238.62758620689655,0.8517241379310345,0.017241379310344827,2.2,0.4,22.8,decision,collapsed,True
EA,2020_trump,290,67.0,11.0,21.0,175.75,693.0,238.62758620689655,0.8517241379310345,0.017241379310344827,2.2,0.4,22.8,decision,fine,True
EA,2022_phase1,295,103.0,11.0,21.0,377.0,733.2,291.8677966101695,0.7389830508474576,0.02711864406779661,3.4,0.4,24.1,decision,collapsed,True
EA,2022_phase1,295,103.0,11.0,21.0,377.0,733.2,291.8677966101695,0.7389830508474576,0.02711864406779661,3.4,0.4,24.1,decision,fine,True
EA,2024_phase2_plus,55,270.0,82.0,148.0,453.5,815.6000000000001,429.23636363636365,0.6545454545454545,0.01818181818181818,8.9,2.7,26.8,decision,collapsed,True
EA,2024_phase2,36,210.0,64.5,130.75,386.5,713.0,390.8888888888889,0.7222222222222222,0.027777777777777776,6.9,2.1,23.4,decision,fine,True
EA,2025_rescission,19,361.0,198.8,281.0,607.5,955.3999999999996,501.89473684210526,0.5263157894736842,0.0,11.9,6.5,31.4,decision,fine,False
EA,1978_recent_2015_2020,831,87.0,21.0,33.5,222.0,624.0,266.42238267148014,0.8279181708784596,0.021660649819494584,2.9,0.7,20.5,decision,sensitivity,True
EIS,1978,1080,1032.0,176.8,516.0,1948.25,3200.4000000000005,1398.8657407407406,0.18611111111111112,0.27037037037037037,33.9,5.8,105.1,decision,collapsed,True
EIS,1978,1080,1032.0,176.8,516.0,1948.25,3200.4000000000005,1398.8657407407406,0.18611111111111112,0.27037037037037037,33.9,5.8,105.1,decision,fine,True
EIS,2020_trump,101,878.0,82.0,302.0,1714.0,3490.0,1370.5940594059407,0.32673267326732675,0.22772277227722773,28.8,2.7,114.7,decision,collapsed,True
EIS,2020_trump,101,878.0,82.0,302.0,1714.0,3490.0,1370.5940594059407,0.32673267326732675,0.22772277227722773,28.8,2.7,114.7,decision,fine,True
EIS,2022_phase1,98,1180.0,175.9,385.75,2674.0,4391.0,1792.0102040816328,0.23469387755102042,0.336734693877551,38.8,5.8,144.3,decision,collapsed,True
EIS,2022_phase1,98,1180.0,175.9,385.75,2674.0,4391.0,1792.0102040816328,0.23469387755102042,0.336734693877551,38.8,5.8,144.3,decision,fine,True
EIS,2024_phase2_plus,50,835.5,388.8,539.75,1822.5,2944.3000000000015,1438.1,0.1,0.26,27.4,12.8,96.7,decision,collapsed,True
EIS,2024_phase2,41,811.0,399.0,516.0,1450.0,2483.0,1284.219512195122,0.0975609756097561,0.1951219512195122,26.6,13.1,81.6,decision,fine,True
EIS,2025_rescission,9,2056.0,468.6,627.0,2587.0,5024.0,2139.1111111111113,0.1111111111111111,0.5555555555555556,67.5,15.4,165.0,decision,fine,False
EIS,1978_recent_2015_2020,485,1216.0,244.8,584.0,2303.0,3526.4,1585.816494845361,0.16082474226804125,0.3422680412371134,39.9,8.0,115.8,decision,sensitivity,True
