process_type,ceq_regime,n,median_days,p10_days,p25_days,p75_days,p90_days,mean_days,pct_lt_1y,pct_gt_5y,median_months,p10_months,p90_months,anchor,regime_level,display
CE,1978,18172,20.0,1.0,6.0,114.0,644.8999999999996,233.8275918996258,0.8532907770195906,0.017939687431212856,0.7,0.0,21.2,initiation,collapsed,True
CE,1978,18172,20.0,1.0,6.0,114.0,644.8999999999996,233.8275918996258,0.8532907770195906,0.017939687431212856,0.7,0.0,21.2,initiation,fine,True
CE,2020_trump,4844,20.0,3.0,9.0,60.0,226.0,85.35383980181668,0.9333195706028076,0.0,0.7,0.1,7.4,initiation,collapsed,True
CE,2020_trump,4844,20.0,3.0,9.0,60.0,226.0,85.35383980181668,0.9333195706028076,0.0,0.7,0.1,7.4,initiation,fine,True
CE,2022_phase1,4259,20.0,3.0,8.0,50.0,121.0,50.97698990373327,0.9807466541441653,0.0,0.7,0.1,4.0,initiation,collapsed,True
CE,2022_phase1,4259,20.0,3.0,8.0,50.0,121.0,50.97698990373327,0.9807466541441653,0.0,0.7,0.1,4.0,initiation,fine,True
EA,1978,1203,140.0,22.0,44.0,431.5,1028.9999999999998,405.4172901080632,0.7190357439733999,0.03906899418121363,4.6,0.7,33.8,initiation,collapsed,True
EA,1978,1203,140.0,22.0,44.0,431.5,1028.9999999999998,405.4172901080632,0.7190357439733999,0.03906899418121363,4.6,0.7,33.8,initiation,fine,True
EA,2020_trump,283,63.0,10.200000000000003,21.0,190.0,532.8,177.59010600706713,0.8303886925795053,0.0,2.1,0.3,17.5,initiation,collapsed,True
EA,2020_trump,283,63.0,10.200000000000003,21.0,190.0,532.8,177.59010600706713,0.8303886925795053,0.0,2.1,0.3,17.5,initiation,fine,True
EA,2022_phase1,223,57.0,9.0,16.5,194.5,426.00000000000006,141.12107623318386,0.8654708520179372,0.0,1.9,0.3,14.0,initiation,collapsed,True
EA,2022_phase1,223,57.0,9.0,16.5,194.5,426.00000000000006,141.12107623318386,0.8654708520179372,0.0,1.9,0.3,14.0,initiation,fine,True
EA,2024_phase2_plus,27,151.0,51.800000000000004,94.5,220.0,298.8,166.07407407407408,1.0,0.0,5.0,1.7,9.8,initiation,collapsed,False
EA,2024_phase2,27,151.0,51.800000000000004,94.5,220.0,298.8,166.07407407407408,1.0,0.0,5.0,1.7,9.8,initiation,fine,False
EIS,1978,1231,1108.0,205.0,547.0,2054.5,3417.0,1506.5272136474412,0.17384240454914704,0.2932575142160845,36.4,6.7,112.3,initiation,collapsed,True
EIS,1978,1231,1108.0,205.0,547.0,2054.5,3417.0,1506.5272136474412,0.17384240454914704,0.2932575142160845,36.4,6.7,112.3,initiation,fine,True
EIS,2020_trump,44,313.0,22.699999999999996,112.75,625.75,1182.9000000000003,440.09090909090907,0.6136363636363636,0.0,10.3,0.7,38.9,initiation,collapsed,True
EIS,2020_trump,44,313.0,22.699999999999996,112.75,625.75,1182.9000000000003,440.09090909090907,0.6136363636363636,0.0,10.3,0.7,38.9,initiation,fine,True
EIS,2022_phase1,51,464.0,23.0,271.0,592.5,811.0,443.88235294117646,0.35294117647058826,0.0,15.2,0.8,26.6,initiation,collapsed,True
EIS,2022_phase1,51,464.0,23.0,271.0,592.5,811.0,443.88235294117646,0.35294117647058826,0.0,15.2,0.8,26.6,initiation,fine,True
EIS,2024_phase2_plus,3,3.0,0.6000000000000001,1.5,95.0,150.2,63.333333333333336,1.0,0.0,0.1,0.0,4.9,initiation,collapsed,False
EIS,2024_phase2,3,3.0,0.6000000000000001,1.5,95.0,150.2,63.333333333333336,1.0,0.0,0.1,0.0,4.9,initiation,fine,False
