process_group,energy_type,n,p10,p25,median_months,p75,p90
CE,Decarb,9074,0.0328515111695138,0.19710906701708278,0.657030223390276,3.5808147174770038,17.664257555847563
CE,Fossil,5028,0.0657030223390276,0.22996057818659657,0.8869908015768725,3.2851511169513796,15.440210249671484
CE,Other,13173,0.0657030223390276,0.22996057818659657,0.6241787122207622,2.135348226018397,10.96583442838374
EA,Decarb,260,1.409329829172142,3.8929040735873848,10.528909329829172,21.246714848883048,40.814717477003924
EA,Fossil,758,0.42706964520367935,0.6898817345597897,1.3469119579500657,3.8354139290407354,7.82851511169514
EA,Other,718,1.0183968462549278,2.759526938239159,6.865965834428383,16.934954007884365,37.60840998685943
EIS,Decarb,298,7.35545335085414,16.77890932982917,34.09986859395532,60.684954007884365,106.20893561103811
EIS,Fossil,271,6.964520367936925,16.98423127463863,32.88436268068331,61.46517739816031,94.3166885676741
EIS,Other,760,4.8258869908015765,15.013140604467806,34.001314060446774,66.95959264126151,114.67148488830486
EA,Fossil (doc-anchored),124,0.7095926412614981,1.773981603153745,5.1741130091984235,13.4526938239159,29.71419185282523
