process_type,reg_period,n,median_days,p10_days,p25_days,p75_days,p90_days,mean_days,pct_lt_1y,pct_gt_5y,median_months,p10_months,p90_months
CE,pre_2000,19,455,0,151,840.5,2188.599999999998,976.9473684210526,0.42105263157894735,0.10526315789473684,14.9,0,71.9
CE,pre_ARRA_2000s,46,708,22,444.25,1248,3738.5,1433.5,0.21739130434782608,0.13043478260869565,23.3,0.7,122.8
CE,post_ARRA,20504,19,1,6,81,393,175.3352028872415,0.8903140850565743,0.012143971907920405,0.6,0,12.9
CE,BIL,2453,20,4,9,62,327.40000000000055,153.99062372604973,0.9099062372604974,0.008153281695882593,0.7,0.1,10.8
CE,IRA,2251,22,3,9,89,487,172.18924922256775,0.8831630386494891,0.00888494002665482,0.7,0.1,16
CE,post_FRA,2002,36,4,12,126,656.8000000000011,217.16633366633366,0.8546453546453546,0.014485514485514486,1.2,0.1,21.6
EA,pre_2000,23,820,110.20000000000002,355.5,1414.5,2620.8000000000006,1295.0869565217392,0.2608695652173913,0.17391304347826086,26.9,3.6,86.1
EA,pre_ARRA_2000s,42,252,25.900000000000006,105.5,754.25,1894.7999999999995,913.7857142857143,0.5476190476190477,0.11904761904761904,8.3,0.9,62.2
EA,post_ARRA,1240,111,20,37,318,716.5000000000007,301.19032258064516,0.7830645161290323,0.020967741935483872,3.6,0.7,23.5
EA,BIL,125,41,7,15,183,711.6000000000003,250.896,0.824,0.032,1.3,0.2,23.4
EA,IRA,98,72,12,19.5,321.75,584.1,227.71428571428572,0.7755102040816326,0.02040816326530612,2.4,0.4,19.2
EA,post_FRA,208,177.5,12,45.75,451.25,888.2000000000003,377.92788461538464,0.6778846153846154,0.028846153846153848,5.8,0.4,29.2
EIS,pre_2000,86,741.5,23,324.5,1390.75,2152.5,1013.6860465116279,0.27906976744186046,0.12790697674418605,24.4,0.8,70.7
EIS,pre_ARRA_2000s,162,1020,261.3,604.5,1910.75,3270.1,1481.388888888889,0.16666666666666666,0.2839506172839506,33.5,8.6,107.4
EIS,post_ARRA,911,1060,183,507,2018,3263,1435.8188803512624,0.18880351262349068,0.283205268935236,34.8,6,107.2
EIS,BIL,36,360,31.5,192,1052.25,1305.5,659.2222222222222,0.5277777777777778,0.027777777777777776,11.8,1,42.9
EIS,IRA,28,1304,271.8,536.25,3235.75,4403,2215.25,0.14285714285714285,0.42857142857142855,42.8,8.9,144.6
EIS,post_FRA,106,1094,271,519.5,2371.25,4391,1658.254716981132,0.1509433962264151,0.3113207547169811,35.9,8.9,144.3
