energy_group,tech_group,n,p10,p25,median_months,p75,p90
Decarbonization,Energy Storage,17,5.348226018396846,9.756898817345597,10.183968462549277,15.045992115637318,15.952693823915899
Decarbonization,Geothermal,22,2.509855453350854,7.342312746386334,14.306833114323258,25.229960578186592,44.405387647831816
Decarbonization,Hydropower,23,6.681997371879107,16.869250985545335,37.187910643889616,57.999342969776606,70.49934296977662
Decarbonization,Nuclear,32,0.3942181340341644,10.914914586070958,19.95729303547963,40.57982917214192,77.23390275952696
Decarbonization,Solar,100,2.3981603153745077,7.383377135348225,18.626806833114323,34.19021024967148,52.812089356110405
Decarbonization,Transmission,202,2.059789750328516,9.469448094612352,27.940210249671484,51.19908015768725,93.4526938239159
Decarbonization,Utilities,63,1.399474375821288,3.3180026281208934,12.54927726675427,39.53679369250985,73.27858081471751
Decarbonization,Wind,81,3.515111695137976,8.5742444152431,18.396846254927727,44.74375821287779,109.49408672798948
Fossil Fuel,Coal,55,14.388961892247043,21.66557161629435,35.51248357424441,64.7831800262812,118.08147174770042
Fossil Fuel,Land-based Oil & Gas,849,0.42706964520367935,0.7227332457293035,1.5440210249671484,5.946123521681997,33.37713534822604
Fossil Fuel,Offshore Oil & Gas,18,3.636662286465177,12.385019710906702,25.509198423127465,30.946123521681997,46.37647831800265
Fossil Fuel,Pipeline,106,1.314060446780552,4.106438896189225,10.69316688567674,32.112352168199735,71.6491458607096
