process_type,decision_year,n,median_days,median_months
CE,1990,1,934,30.7
CE,1991,1,188,6.2
CE,1994,3,668,21.9
CE,1996,1,38,1.2
CE,1997,8,552,18.1
CE,2000,5,774,25.4
CE,2001,1,91,3
CE,2003,2,1244.5,40.9
CE,2004,1,120,3.9
CE,2005,5,2009,66
CE,2006,16,578,19
CE,2007,7,1186,39
CE,2008,7,851,28
CE,2009,253,10,0.3
CE,2010,1752,15,0.5
CE,2011,1103,18,0.6
CE,2012,885,22,0.7
CE,2013,971,20,0.7
CE,2014,722,38.5,1.3
CE,2015,1071,18,0.6
CE,2016,1776,21,0.7
CE,2017,2197,22,0.7
CE,2018,2378,15,0.5
CE,2019,2364,16,0.5
CE,2020,2475,19,0.6
CE,2021,2848,21,0.7
CE,2022,3381,19,0.6
CE,2023,2258,32.5,1.1
CE,2024,743,40,1.3
CE,2025,32,1094.5,36
CE,2026,3,3703,121.6
EA,1991,1,1160,38.1
EA,1992,1,1378,45.3
EA,1993,3,820,26.9
EA,1994,3,513,16.9
EA,1995,5,1186,39
EA,1996,3,1888,62
EA,1997,2,833.5,27.4
EA,1998,4,172,5.7
EA,2000,1,390,12.8
EA,2001,3,258,8.5
EA,2002,3,1938,63.7
EA,2003,7,505,16.6
EA,2004,8,1003.5,33
EA,2005,5,66,2.2
EA,2006,3,174,5.7
EA,2007,4,144.5,4.7
EA,2008,7,122,4
EA,2009,13,509,16.7
EA,2010,31,301,9.9
EA,2011,32,430.5,14.1
EA,2012,34,319.5,10.5
EA,2013,40,307.5,10.1
EA,2014,51,429,14.1
EA,2015,46,428.5,14.1
EA,2016,103,75,2.5
EA,2017,159,98,3.2
EA,2018,177,72,2.4
EA,2019,190,59.5,2
EA,2020,208,112.5,3.7
EA,2021,176,67,2.2
EA,2022,151,63,2.1
EA,2023,144,68,2.2
EA,2024,78,222,7.3
EA,2025,39,270,8.9
EIS,1991,2,2205,72.4
EIS,1992,4,1343.5,44.1
EIS,1993,3,1297,42.6
EIS,1994,4,1281,42.1
EIS,1995,12,1340.5,44
EIS,1996,8,598.5,19.7
EIS,1997,11,490,16.1
EIS,1998,6,1563,51.3
EIS,1999,16,666,21.9
EIS,2000,7,2838,93.2
EIS,2001,15,836,27.5
EIS,2002,18,902,29.6
EIS,2003,12,839,27.6
EIS,2004,18,1042.5,34.2
EIS,2005,23,1434,47.1
EIS,2006,11,729,23.9
EIS,2007,22,913,30
EIS,2008,34,1380,45.3
EIS,2009,26,942,30.9
EIS,2010,43,994,32.7
EIS,2011,52,873.5,28.7
EIS,2012,61,788,25.9
EIS,2013,79,881,28.9
EIS,2014,88,1038.5,34.1
EIS,2015,95,1314,43.2
EIS,2016,100,1067,35.1
EIS,2017,57,1142,37.5
EIS,2018,72,1221,40.1
EIS,2019,98,1286.5,42.3
EIS,2020,95,936,30.7
EIS,2021,51,701,23
EIS,2022,43,735,24.1
EIS,2023,50,1556.5,51.1
EIS,2024,58,834,27.4
EIS,2025,14,896,29.4
EIS,2026,1,2056,67.5
