project_id,process_type,project_title,lead_agency_harmonized,project_state,project_energy_type,duration_days,duration_years,outlier_type,suspect_error,suspect_reason,initiation_date,initiation_date_granularity,initiation_source_type,decision_date,decision_date_granularity,decision_source_type,initiation_evidence_text,decision_evidence_text
3dc6ca28-bb8f-eae5-437a-5a302d4defd9,CE,Surprise Valley Electrification Corp. Powerline Right-of-Way Renewal,"[""Bureau of Land Management""]","[""Oregon""]",Clean,18196,49.8,long,TRUE,initiation pre-1985 (likely historical citation),1972-07-24,day,document_text,2022-05-19,day,api_adjudication,"Description of Proposed Action: By renewal application received May 2, 2022, Surprise Valley Electrification Corp. (Applicant) is requesting renewal of an existing 1,396 feet long by 20 feet wide right-of-way (Proposed Action), encompassing approximately 0.64 acres, across BLM-administered land in L","Page 8 of 15 EXHIBIT A OROR-071381 (previously OROR-009158) 7.2/12.5 kV Electric Distribution Line May 19, 2022 STIPULATIONS, TERMS AND CONDITIONS OF APPROVAL ""Authorized Officer"" refers to the Bureau of Land Management (BLM) Lakeview Field Manager, District Manager, or his/her designee."
916b482d-1e01-d421-46f2-d8f217755be7,CE,Government Right-of-Way Renewals,"[""Bureau of Land Management""]","[""Colorado""]",Other,16005,43.8,long,TRUE,initiation pre-1985 (likely historical citation),1980-06-10,day,document_text,2024-04-05,day,api_adjudication,Proposed Action Project Components and General Schedule The United States Fish and Wildlife Service has submitted an application for renewal of an existing ROW for continued use and maintenance of an access road within the Brown's Park National Wildlife Refuge. No additional disturbance is authorize,Field Manager [Signature] 4/5/24 Date DOI-BLM-CO-N010-2024-0003-CX 11 Appendix A.
3d4b2e39-aeb3-5bcd-6f76-e82d393f13c7,CE,Renewal of Natural Gas Pipeline and Cathodic Protection Site,"[""Bureau of Land Management""]","[""Colorado""]",Fossil,14860,40.7,long,TRUE,initiation pre-1985 (likely historical citation),1978-08-09,day,api_adjudication,2019-04-16,day,api_adjudication,"The original grant was issued on August 9, 1978 for a 17-mile natural gas pipeline.",Walte Field Manager Date 4/16/2019 DOI-BLM-CO-N050-2019-0041-CX 8 Exhibit A.
d6610cb2-7c5f-1d15-067e-740b1c9c3c22,CE,,"[""Bureau of Land Management""]","[""Colorado""]",Fossil,12343,33.8,long,TRUE,initiation pre-1985 (likely historical citation),1983-09-15,month,document_text,2017-07-01,year,api_adjudication,"The well was spudded in September 1983 and completed on March 26, 1985.","COA-2 DOI-BLM-CO-N040-2017-0006-SCX (390) Road Maintenance and Final Reclamation for USA 1-22C Well Operator: Maralex Resources, Inc."
01b2f6ec-cd71-2a60-7c74-70fd59d78318,CE,Communications Line Right-of-Way Renewal,"[""Bureau of Land Management""]","[""Arizona""]",Other,12131,33.2,long,TRUE,initiation pre-1985 (likely historical citation),1980-05-15,month,api_adjudication,2013-08-01,day,api_adjudication,SIGNATURE [Signature] Acting Area Manager 7-20-81 Date Form 2060-1 (May 1980) UNITED STATES DEPARTMENT OF THE INTERIOR BUREAU OF LAND MANAGEMEN LAND REPORT TITLE PAGE State Arizona District Phoenix County Maricopa Resource area Phoenix 02-18 Central AZ Type of Action Right-of-way (Legalization) Seri,AZ-1790-1 August 2013 DECISION RECORD EA# AZ-020-1-243 Case# A-17049 A-17049 A.
f0400fbf-1fbd-e8d2-fbf2-9ae4d0784997,CE,Wertz Water Injection Line pipeline renewal,"[""Bureau of Land Management""]","[""Wyoming""]",Fossil,11689,32,long,TRUE,early LLM-picked initiation (verify),1985-08-15,month,api_adjudication,2017-08-16,day,api_adjudication,Form 2800-14 (August 1985) UNITED STATES DEPARTMENT OF THE INTERIOR BUREAU OF LAND MANAGEMENT RIGHT-OF-WAY GRANT/TEMPORARY USE PERMIT Issuing Office Rawlins Field Office Serial Number WYW-185371 1.,"Baker for August 16, 2017 Date Field Manager, Rawlins Field Office E."
e6850fa3-0950-6727-247d-ea9912cc4093,CE,Kevin J. O'Dell Access Road to Private Residence,"[""Bureau of Land Management""]","[""Wyoming""]",Other,11400,31.2,long,TRUE,early LLM-picked initiation (verify),1988-01-14,day,api_adjudication,2019-04-01,day,api_adjudication,The access road right-of-way was originally authorized 01/14/1988.,West Lander Field Office Manager Date 4/1/2019 28 41001 Hoodoo 5900 5776 687 Quien Sabe Ranch VABM 3 629 34/ 6.00 3 08009 39N 93W 40N 93W 5133 5957 SROX 35 5767 2 Fo Meeks Ranch 05964 10 Copyright© 2013 National Geographic Society.
a93c718b-4ca6-9655-2ee6-883e8b31c93d,CE,Road ROW for UtahAmerican Energy,"[""Bureau of Land Management""]","[""Utah""]",Fossil,9507,26,long,TRUE,early LLM-picked initiation (verify),1990-09-05,day,api_adjudication,2016-09-15,month,api_adjudication,"The ROW was assigned to UtahAmerican Energy on September 5, 1990, and was relinquished in 2015.","United States Department of the Interior Bureau of Land Management Decision Record Categorical Exclusion Not Established By Statute DOI-BLM-UT-G020-2016-0042-CX September 2016 Road ROW for UtahAmerican Energy Location: Salt Lake Meridian, Emery County, Utah T."
98119541-9def-9cea-bd7d-b730eae639b0,CE,McNew Ground Station Site ROW,"[""Bureau of Land Management""]","[""New Mexico""]",Clean,8374,22.9,long,TRUE,early LLM-picked initiation (verify),1993-11-15,month,api_adjudication,2016-10-19,day,api_adjudication,Corps of Engineers in November 1993 under the provisions of Section 507 of FLPMA.,"Assistant District Manager Date: October 19, 2016"
1ee945b9-74c6-ecc8-8770-2c54d1d80529,CE,JAEA-NFD-Hitachi LWR ATR Irradiations Experiment,"[""Department of Energy""]","[""Idaho""]",Other,6044,16.5,long,TRUE,initiation pre-1985 (likely historical citation),1980-10-15,month,document_text,1997-05-03,day,document_text,"Final Environmental Impact Statement for the Waste Isolation Pilot Plant (DOE/EIS-0026, October 1980) and Final Supplement Environmental Impact Statement for the Waste Isolation Pilot Plant (SEIS-I) (DOE/EIS-0026-FS, January 1990).","The Department has analyzed TRU waste management activities in the Final Waste Management Programmatic Environmental Impact Statement (WM PEIS) (DOE /EIS-200-F, DOE-ID NEPA CX DETERMINATION Idaho National Laboratory CX Posting No.: DOE-ID-INL-21-159 Page 3 of 3 May 1997)."
95fe5f6ddbe2d1fec416d41d29e18258,EA,Pleasantview Hills Aspen Stand Diversity Project,"[""Bureau of Land Management""]","[""Idaho""]",Other,14010,38.4,long,TRUE,initiation pre-1985 (likely historical citation),1981-05-05,day,api_adjudication,2019-09-13,day,document_text,"Notice of intent IDI-29057 was filed on May 5, 1981 for lands within Township 13 South, Range 34 East, Section 32, SE1/4 and Section 33, E1/2.",/s/ Melissa Warren 9/13/2019 Melissa Warren Field Manager Pocatello Field Office Date
70f0fd1697a1362f9def2e1c65d5e8b1,EA,Pre-Federal Land Policy Management Act Right-of-way Grants,"[""Bureau of Land Management""]","[""Colorado""]",Clean,11850,32.4,long,TRUE,initiation pre-1985 (likely historical citation),1972-04-15,month,api_adjudication,2004-09-24,day,api_adjudication,"The ROW grant was issued in April 1972 under the authority of the Act of March 4, 1911 which was superseded by FLPMA and the ROW expires in April 2020.","The communication sites are managed by the Nine Mile Hill Communication Site Plan which was approved September 24, 2004."
e3a439523eaf77c290a25a190f5a4d5e,EA,RADIOACTIVE WASTE STORAGE,"[""Department of Energy""]","[""Colorado""]",Other,8918,24.4,long,TRUE,initiation pre-1985 (likely historical citation),1971-11-15,month,document_text,1996-04-15,month,api_adjudication,The exterior walls consist of hardened concrete. The walls are insulated with either transite or fiberglass batt insulation. Building 374 and Building 371 are connected and share common utilities. 3 . 2 2 Building 440 Building 440 was originally used for the modification of transportation equipment.,"Signed at Golden Colorado, this day of April 1996."
