project_id,process_type,project_title,lead_agency_harmonized,project_state,project_energy_type,duration_years,duration_days,initiation_date,decision_date
da4d59f465693f67613fb04a3be56a30,EA,Closure of Nonradioactive Dangerous Waste Landfill (NRDWL) and Solid Waste Landfill (SWL),"[""Department of Energy""]","[""Washington""]",Other,24.5,8933,1985-11-15,2010-05-01
8237e9b86021dba1b116398c74644f23,EA,Construction and Operation of The Molecular Foundry,"[""Department of Energy""]","[""California""]",Other,16.3,5939,1986-12-01,2003-03-06
d4cb63aaadf006f332c6015042498d08,EIS,"Interstate Highway 35 Capital Express Central Project From United States Highway 290 East to United States Highway 290 West/State Highway 71 Travis County, Texas",[],"[""Texas""]",Other,29.8,10888,1993-03-15,2023-01-05
7da2bac1ab510ecd349877382a4569ae,EIS,"Lower Cache Creek, Yolo County, Woodland and Vicinity, California Flood Risk Management",[],"[""California""]",Other,23.6,8635,1996-05-06,2019-12-27
ca3d703bbef5b90c42e4900a179cf696,EIS,2021 Land Management Plan Helena – Lewis and Clark National Forest,"[""Forest Service""]","[""Montana""]",Other,20,7294,2001-10-26,2021-10-15
da6bbc7a3ca3aeca7bc1c06eaafa8d44,EIS,Proposed Palisades Nuclear Restart Project,"[""Department of Energy""]","[""Michigan""]",Clean,19.4,7076,2005-03-22,2024-08-05
252300407e5f5b7ae87c30984faa46da,EIS,Rawlins Resource Management Plan,[],"[""Wyoming""]",Other,17.7,6470,2002-02-25,2019-11-13
48e2e33fc1555b1ef01a7c5bbc3e6c4f,EIS,West Mojave Route Network Project,"[""Bureau of Land Management""]","[""California""]",Other,16.3,5961,2003-06-07,2019-10-02
34a8fa6c4bb7081831ba3e843af15db3,EIS,West Mojave Route Network Project,"[""Bureau of Land Management""]","[""California""]",Other,16.3,5961,2003-06-07,2019-10-02
9757c3901c0240237625ff424be4cdac,EIS,Clearwater National Forest Travel Planning,"[""Forest Service""]","[""Idaho""]",Other,16.1,5892,2007-11-28,2024-01-15
572a8342af3551b4c1dd71d910ea5645,EIS,Clearwater National Forest Travel Planning,"[""Forest Service""]","[""Idaho""]",Other,15.7,5739,2007-11-28,2023-08-15
95c319c8d504a7e1436abf6de96f0a7c,EIS,Pima County Multi-Species Conservation Plan,[],"[""Arizona""]",Other,15.4,5608,2000-09-07,2016-01-15
9e65f5e1614fae11f2d17be8d96fff63,EIS,Placer County Conservation Program,"[""United States Fish and Wildlife Service""]","[""California""]",Clean,15.2,5541,2005-03-15,2020-05-16
90edf860d9396c4d21b0c28165054c4f,EIS,Proposed Roan Plateau Planning Area Resource Management Plan Amendment,"[""Bureau of Land Management""]","[""Colorado""]",Fossil,14.8,5423,2000-11-16,2015-09-22
15b199816215e2ab7b2a01534eaaaeca,EIS,Malheur National Forest Site-Specific Invasive Plants Treatment Project,"[""Forest Service""]","[""Oregon""]",Other,14.7,5375,2000-06-26,2015-03-15
4a660923bc39c4d901fa0e43743556c3,EIS,Sterling Highway Milepost 45-60 Project,"[""Federal Highway Administration""]","[""Alaska""]",Other,14.6,5346,2003-07-15,2018-03-04
f0519ad10cf558982119d91fc5070055,EIS,Resource Management Plan for the Ring of Fire Planning Area,"[""Bureau of Land Management""]","[""Alaska""]",Other,14.6,5337,2009-06-26,2024-02-05
1ae98cccdd70178ad07bb9139acff4f1,EIS,Las Vegas Disposal Boundary,"[""Bureau of Land Management""]","[""Nevada""]",Fossil,14.6,5337,1990-05-08,2004-12-17
3b7e393de77613cc10641d9a352796ae,EIS,Energia Sierra Juarez U.S. Transmission Line Project,"[""Department of Energy""]","[""California""]",Clean,14.6,5336,2009-02-25,2023-10-06
45d2e6f0c1355538141299ae292d7816,EIS,SunZia Southwest Transmission Project,"[""Bureau of Land Management""]","[""Arizona"", ""New Mexico""]",Clean,14.6,5329,2008-09-15,2023-04-19
343ede7d2588c7a2972ca8054b786750,EIS,Enhancing Protections for Hawaiian Spinner Dolphins To Prevent Disturbance,"[""National Oceanic and Atmospheric Administration""]","[""Hawaii""]",Other,14.6,5317,2006-11-24,2021-06-15
5850de94288bde63ffd60e03b1d6297d,EIS,Burbank to Los Angeles Project Section of the California High-Speed Rail System,"[""Federal Railroad Administration""]","[""California""]",Other,14.5,5298,2007-03-15,2021-09-15
c9432370a03a367ceb6b09fa69837925,EIS,Designation of Energy Corridors on Federal Land in the 11 Western States,[],"[""Arizona"", ""California"", ""Colorado"", ""Idaho"", ""Montana"", ""Nevada"", ""New Mexico"", ""Oregon"", ""Utah"", ""Washington"", ""Wyoming""]",Fossil,14.5,5289,1995-10-15,2010-04-08
d0cf2f7fe096e6bab0900b0fb5632e12,EIS,Grain Belt Express Transmission Line,"[""Department of Energy""]","[""Kansas"", ""Missouri""]",Clean,14.4,5244,2011-03-07,2025-07-15
