arm,vol_group,bin_label,n,median_days
BLM field offices,Busier half,2012–13,48,123
BLM field offices,Busier half,2014–15,127,48
BLM field offices,Busier half,2016–17,359,26
BLM field offices,Busier half,2018–19,302,19.5
BLM field offices,Busier half,2020–21,144,22.5
BLM field offices,Busier half,2022–23,199,25
BLM field offices,Busier half,2024–25,30,45.5
BLM field offices,Quieter half,2010–11,19,1057
BLM field offices,Quieter half,2012–13,44,165
BLM field offices,Quieter half,2014–15,63,266
BLM field offices,Quieter half,2016–17,98,16.5
BLM field offices,Quieter half,2018–19,141,20
BLM field offices,Quieter half,2020–21,105,42
BLM field offices,Quieter half,2022–23,57,68
DOE administering offices,Busier half,2010–11,2070,14
DOE administering offices,Busier half,2012–13,1347,15
DOE administering offices,Busier half,2014–15,830,8
DOE administering offices,Busier half,2016–17,323,7
DOE administering offices,Quieter half,2010–11,29,70
DOE administering offices,Quieter half,2012–13,60,90
DOE administering offices,Quieter half,2014–15,96,110
DOE administering offices,Quieter half,2016–17,60,76
