office,n_parsed
ALL,11707
National Energy Technology Laboratory,3451
Golden Field Office,1771
Savannah River Operations Office,1714
Energy Efficiency and Renewable Energy,970
Bonneville Power Administration,895
Advanced Research Projects Agency-Energy,445
Nuclear Energy,388
Western Area Power Administration-Rocky Mountain Region,328
Strategic Petroleum Reserve Field Office,187
Western Area Power Administration-Desert Southwest Region,181
Idaho Operations Office,179
River Protection-Richland Operations Office,153
Legacy Management,82
Sandia Site Office,71
Y-12 Site Office,67
RMOTC,59
Berkeley Site Office,52
Argonne Site Office,44
Pantex Site Office,44
Oak Ridge Office,40
Office of River Protection-Richland Office,39
Fermi Site Office,36
Southwestern Power Administration,36
NNSA-Headquarters,33
Naval Nuclear Propulsion Program,29
Western Area Power Administration-Upper Great Plains Region,27
Western Area Power Administration-Sierra Nevada Region,25
Kansas City Site Office,23
Los Alamos Site Office,22
Chicago Office,20
Loan Guarantee Program Office,20
Pacific Northwest Site Office,20
Office of Oil and Natural Gas,18
Brookhaven Site Office,17
Lawrence Livermore Site Office,15
Portsmouth Paducah Project Office,13
West Valley Demonstration Project,13
Science,11
Electricity Delivery and Energy Reliability,10
...,9
Stanford Linear Accelerator Site Office,9
Golde,7
Go,6
Nat,6
Carlsbad Field Office,5
Ames Site Office,5
Gold,4
Na,4
Nati,4
Natio,4
N,3
Ad,3
Princeton Site Office,3
Energy Efficiency & Renewable Energy,3
Thomas Jefferson Site Office,3
Environmental Management,3
G,3
Ri,2
Western Area Power Administration-Colorado River Storage Project Management Center,2
Bo,2
Savan,2
Energy Efficiency & Renewable Energy (EERE) / Oak Ridge Office (ORO),2
Waste Isolation Pilot Plant,2
Legacy Management-Grand Junction,2
En,2
Fossil,2
Advanced Technology Vehicles Manufacturing Loan Program,2
Gol,2
Fossil Energy,2
Loan Guar,1
Office of Science,1
Natural Gas Regulation,1
Fossil En,1
NNSA-I,1
Office of River Protection-,1
Envir,1
Legacy M,1
Legacy Manage,1
Naval Nuclear Propuls,1
Legacy Man,1
Electricity Delivery and Energy Reli,1
Electricity Delivery and Energy Reliabilit,1
Energy Efficiency & Renewable Energy (EER,1
Electricity Delivery and Energy Reliab,1
NNSA-Service Center,1
New Br,1
Office of River Protection-Richland,1
Princeton,1
Naval Reactors,1
Fossil E,1
Office of Oil & Natural Gas,1
New Brunswick Laboratory,1
Off of Oil & Natural Gas,1
Nevada Site Office,1
Nevada Sit,1
B,1
Electricity Delivery and En,1
Stanford Linear Accelerator Site Off,1
Ener,1
River,1
NRF,1
Advan,1
Office of River Protection-Richlan,1
F,1
Off. Oil & Natural Gas,1
Knolls Site,1
Ida,1
S,1
South CarolinaOffice(s): Savannah R,1
NNSA,1
NNSA-Proliferation Detection,1
Nu,1
Oak R,1
Office Oil and Natural Gas,1
Bettis Site,1
Electricity Delivery and Energy Reliabili,1
Nucle,1
Environmental Manage,1
Off of Oil & Natura,1
Legacy Manag,1
