arm,office,n_parsed,n_ce_doc_complete
BLM,AK-0000,7,0
BLM,AK-010,1,0
BLM,AK-9410,10,0
BLM,AK-9412,1,0
BLM,AK-9413,2,0
BLM,AK-943,1,0
BLM,AK-9430,5,0
BLM,AK-A000,1,0
BLM,AK-A010,94,0
BLM,AK-A020,149,0
BLM,AK-F000,2,0
BLM,AK-F010,15,0
BLM,AK-F020,114,0
BLM,AK-F030,146,0
BLM,AK-R000,126,0
BLM,AZ-0000,3,0
BLM,AZ-030,1,0
BLM,AZ-A000,10,0
BLM,AZ-A010,169,38
BLM,AZ-A020,24,0
BLM,AZ-A030,77,0
BLM,AZ-C000,1,0
BLM,AZ-C010,223,0
BLM,AZ-C020,65,0
BLM,AZ-C030,234,46
BLM,AZ-G000,2,0
BLM,AZ-G010,236,44
BLM,AZ-G0110,1,0
BLM,AZ-G020,198,30
BLM,AZ-G021,2,0
BLM,AZ-G022,2,0
BLM,AZ-G030,1,0
BLM,AZ-P000,2,0
BLM,AZ-P010,219,34
BLM,AZ-P020,152,39
BLM,AZ-P030,8,0
BLM,AZ-P040,7,0
BLM,CA-060,2,0
BLM,CA-2022,1,0
BLM,CA-650,1,0
BLM,CA-9000,3,0
BLM,CA-C050,34,0
BLM,CA-C0500,1,0
BLM,CA-C060,684,0
BLM,CA-C068,1,0
BLM,CA-C069,11,0
BLM,CA-C070,49,0
BLM,CA-C080,91,0
BLM,CA-C090,145,0
BLM,CA-D010,3,0
BLM,CA-D050,78,0
BLM,CA-D060,59,0
BLM,CA-D070,157,0
BLM,CA-D080,82,0
BLM,CA-D090,12,0
BLM,CA-N020,40,0
BLM,CA-N030,47,0
BLM,CA-N038,3,0
BLM,CA-N050,39,0
BLM,CA-N060,49,0
BLM,CA-N070,1,0
BLM,CO-0000,4,0
BLM,CO-040,9,0
BLM,CO-130,7,0
BLM,CO-200,4,0
BLM,CO-2019,1,0
BLM,CO-2020,2,0
BLM,CO-F02,13,0
BLM,CO-F020,150,0
BLM,CO-F024,1,0
BLM,CO-F03,12,0
BLM,CO-F030,20,0
BLM,CO-F070,46,0
BLM,CO-G010,38,0
BLM,CO-G012,2,0
BLM,CO-G020,108,0
BLM,CO-G030,3,0
BLM,CO-N01,1,0
BLM,CO-N010,268,68
BLM,CO-N02,6,0
BLM,CO-N020,33,0
BLM,CO-N030,24,0
BLM,CO-N034,2,0
BLM,CO-N040,292,78
BLM,CO-N05,44,0
BLM,CO-N050,148,0
BLM,CO-N060,1,0
BLM,CO-S010,78,0
BLM,CO-S012,7,0
BLM,CO-S050,135,0
BLM,CO-S054,8,0
BLM,CO-S060,36,0
BLM,CO-S070,3,0
BLM,CO-S080,89,0
BLM,CO-S081,4,0
BLM,CO-S090,6,0
BLM,ES-0030,2,0
BLM,ES-J000,2,0
BLM,HQ-2000,1,0
BLM,ID-0000,1,0
BLM,ID-130,1,0
BLM,ID-B000,9,0
BLM,ID-B010,303,31
BLM,ID-B011,101,0
BLM,ID-B012,1,0
BLM,ID-B020,81,0
BLM,ID-B030,89,0
BLM,ID-B20,1,0
BLM,ID-C000,1,0
BLM,ID-C010,129,0
BLM,ID-C020,109,0
BLM,ID-I000,5,0
BLM,ID-I010,115,0
BLM,ID-I020,111,0
BLM,ID-I030,84,0
BLM,ID-I040,51,0
BLM,ID-T010,78,0
BLM,ID-T020,158,0
BLM,ID-T030,182,35
BLM,ID-T031,1,0
BLM,MT-0000,12,0
BLM,MT-0010,1,0
BLM,MT-020,1,0
BLM,MT-060,6,0
BLM,MT-A010,86,0
BLM,MT-B010,78,0
BLM,MT-B050,42,0
BLM,MT-B070,111,0
BLM,MT-C010,90,0
BLM,MT-C020,383,72
BLM,MT-C030,194,0
BLM,MT-C040,65,0
BLM,MT-L010,42,0
BLM,MT-L020,32,0
BLM,MT-L030,52,0
BLM,MT-L0300,3,0
BLM,MT-L060,188,46
BLM,MT-L070,34,0
BLM,MT-M010,3,0
BLM,MT-M030,1,0
BLM,NM-0000,1,0
BLM,NM-0040,86,0
BLM,NM-0060,17,0
BLM,NM-A010,94,0
BLM,NM-A014,1,0
BLM,NM-A020,78,0
BLM,NM-F010,152,0
BLM,NM-F020,20,0
BLM,NM-L000,141,83
BLM,NM-P010,247,31
BLM,NM-P020,1038,81
BLM,NV-0000,8,0
BLM,NV-B000,13,0
BLM,NV-B010,56,0
BLM,NV-B020,154,0
BLM,NV-C000,6,0
BLM,NV-C010,119,0
BLM,NV-C020,174,60
BLM,NV-E000,19,0
BLM,NV-E020,75,0
BLM,NV-E030,62,0
BLM,NV-L000,1,0
BLM,NV-L020,4,0
BLM,NV-L030,10,0
BLM,NV-L050,4,0
BLM,NV-L060,33,0
BLM,NV-S010,389,51
