office_code,state,n,median_days,first_med,last_med,pct_change,register_init_share
UT-Y010,UT,158,8,6,15,150,0.576
WY-P060,WY,131,31,70.5,30,-57.4,0.459
WY-R020,WY,112,18,15.5,24,54.8,0.446
UT-C010,UT,86,27.5,16,43,168.8,0.687
NM-L000,NM,83,35,37.5,21,-44,0.32
NM-P020,NM,81,52,163,52,-68.1,0.845
CO-N040,CO,78,56.5,48,53.5,11.5,0.487
MT-C020,MT,72,14,17,13,-23.5,0.667
CO-N010,CO,68,33,55,28.5,-48.2,0.607
NV-C020,NV,60,44.5,6.5,37,469.2,0.45
WY-D040,WY,52,13.5,6,21,250,0.848
NV-S010,NV,51,122,234,104,-55.6,0.805
WY-R010,WY,49,27,29,27.5,-5.2,0.647
AZ-C030,AZ,46,18,106,16,-84.9,0.705
MT-L060,MT,46,38,44,21,-52.3,0.664
WY-D010,WY,46,49,120,39,-67.5,0.775
AZ-G010,AZ,44,23,161,24.5,-84.8,0.732
WY-D090,WY,43,20,51,19,-62.7,0.837
WY-D030,WY,41,47,24,998,4058.3,0.837
WY-R050,WY,41,38,28,47,67.9,0.709
AZ-P020,AZ,39,26,332,27,-91.9,0.621
AZ-A010,AZ,38,917.5,1321,583.5,-55.8,0.631
UT-Y020,UT,38,35.5,6,402,6600,0.762
ID-T030,ID,35,29,181.5,11,-93.9,0.693
AZ-P010,AZ,34,34.5,183.5,1,-99.5,0.728
UT-C020,UT,32,30,22,42.5,93.2,0.556
ID-B010,ID,31,191,335,33.5,-90,0.622
NM-P010,NM,31,154,156,154,-1.3,0.862
NV-W010,NV,31,68,66,77.5,17.4,0.705
AZ-G020,AZ,30,349.5,413.5,36,-91.3,0.792
UT-C030,UT,30,12.5,3,10.5,250,0.844
