process_type,flag_list,n
CE,multiple_high_score_candidates,32029
CE,missing_initiation,24616
CE,api_adjudicated,15805
CE,low_confidence_selection,14292
CE,proxy_initiation,13458
CE,ce_inferred_application,8226
CE,missing_decision,7993
CE,proxy_decision,5136
CE,initiation_earliest_selected,4908
CE,date_determined_initiation,4055
CE,non_day_granularity,2967
CE,month_decision,1120
CE,year_proxy_initiation,1103
CE,ce_register_decision_preferred,649
CE,proxy_only,241
CE,invalid_order,226
CE,implausible_duration_long,131
CE,duration_gt_25y,99
CE,ground_truth_bypass,94
CE,same_day,15
EA,api_adjudicated,1506
EA,missing_initiation,1263
EA,missing_decision,840
EA,month_decision_suppressed_non_ce,343
EA,initiation_earliest_selected,337
EA,multiple_high_score_candidates,295
EA,low_confidence_selection,233
EA,proxy_initiation,174
EA,non_day_granularity,131
EA,month_decision,109
EA,ground_truth_bypass,78
EA,proxy_decision,76
EA,ea_decision_register,50
EA,ea_decision_strong_text,41
EA,ea_decision_fea_month,22
EA,implausible_duration_long,7
EA,proxy_only,7
EA,invalid_order,1
EIS,missing_decision,2632
EIS,api_adjudicated,2142
EIS,missing_initiation,2027
EIS,initiation_earliest_selected,1524
EIS,multiple_high_score_candidates,1294
EIS,low_confidence_selection,1152
EIS,proxy_decision,1041
EIS,month_decision_suppressed_non_ce,950
EIS,deis_only,757
EIS,eis_feis_fallback,757
EIS,eis_rod,732
EIS,proxy_initiation,388
EIS,month_decision,379
EIS,non_day_granularity,345
EIS,proxy_only,126
EIS,ground_truth_bypass,123
EIS,implausible_duration_short,43
EIS,implausible_duration_long,15
EIS,invalid_order,13
EIS,year_proxy_decision,4
EIS,nepa_case_year_proxy_discarded,1
