office_code,state,process_type,n_parsed,n_complete,n_doc,n_register,median_days_all,dec_year_min,dec_year_max
CA-D070,CA,EA,1,1,0,1,258.0,2020.0,2020.0
CA-D070,CA,CE,5,4,1,3,109.5,2019.0,2022.0
ID-B030,ID,CE,1,0,0,0,,,
NV-E020,NV,CE,2,1,0,1,54.0,2023.0,2023.0
NV-W010,NV,CE,3,3,2,1,106.0,2017.0,2023.0
CA-C050,CA,CE,2,1,0,1,1488.0,2022.0,2022.0
ID-B011,ID,CE,2,1,1,0,0.0,2016.0,2016.0
NM-A010,NM,CE,1,1,1,0,0.0,2018.0,2018.0
NV-B010,NV,CE,1,1,0,1,1.0,2021.0,2021.0
NV-B020,NV,CE,4,2,0,2,26.5,2022.0,2022.0
NV-C010,NV,CE,18,9,2,7,19.0,2015.0,2024.0
NV-L060,NV,CE,1,1,0,1,4.0,2021.0,2021.0
NV-W000,NV,CE,2,2,1,1,1152.0,2023.0,2025.0
NV-W030,NV,CE,2,1,0,1,28.0,2017.0,2017.0
NV-W030,NV,EA,1,1,1,0,0.0,2010.0,2010.0
UT-C010,UT,CE,5,4,0,4,31.0,2017.0,2023.0
UT-C010,UT,EA,1,1,0,1,365.0,2025.0,2025.0
CA-C070,CA,CE,1,1,0,1,7.0,2019.0,2019.0
ID-B010,ID,CE,1,0,0,0,,,
NM-L000,NM,CE,1,1,1,0,87.0,2017.0,2017.0
UT-0000,UT,EA,1,1,0,1,212.0,2025.0,2025.0
CA-D050,CA,CE,1,0,0,0,,,
ID-T020,ID,CE,1,0,0,0,,,
NV-C020,NV,CE,3,2,0,2,27.5,2017.0,2021.0
CA-C050,CA,ALL,2,1,0,1,1488.0,2022.0,2022.0
CA-C070,CA,ALL,1,1,0,1,7.0,2019.0,2019.0
CA-D050,CA,ALL,1,0,0,0,,,
CA-D070,CA,ALL,6,5,1,4,128.0,2019.0,2022.0
ID-B010,ID,ALL,1,0,0,0,,,
ID-B011,ID,ALL,2,1,1,0,0.0,2016.0,2016.0
ID-B030,ID,ALL,1,0,0,0,,,
ID-T020,ID,ALL,1,0,0,0,,,
NM-A010,NM,ALL,1,1,1,0,0.0,2018.0,2018.0
NM-L000,NM,ALL,1,1,1,0,87.0,2017.0,2017.0
NV-B010,NV,ALL,1,1,0,1,1.0,2021.0,2021.0
NV-B020,NV,ALL,4,2,0,2,26.5,2022.0,2022.0
NV-C010,NV,ALL,18,9,2,7,19.0,2015.0,2024.0
NV-C020,NV,ALL,3,2,0,2,27.5,2017.0,2021.0
NV-E020,NV,ALL,2,1,0,1,54.0,2023.0,2023.0
NV-L060,NV,ALL,1,1,0,1,4.0,2021.0,2021.0
NV-W000,NV,ALL,2,2,1,1,1152.0,2023.0,2025.0
NV-W010,NV,ALL,3,3,2,1,106.0,2017.0,2023.0
NV-W030,NV,ALL,3,2,1,1,14.0,2010.0,2017.0
UT-0000,UT,ALL,1,1,0,1,212.0,2025.0,2025.0
UT-C010,UT,ALL,6,5,0,5,34.0,2017.0,2025.0
(no office match),,EA,10,0,0,0,,,
(no office match),,CE,27,8,8,0,166.0,2011.0,2022.0
(no office match),,EIS,11,5,5,0,1178.0,2000.0,2020.0
(no office match),,ALL,48,13,13,0,253.0,2000.0,2022.0
(DOE & other),,CE,735,333,328,5,8.0,2009.0,2024.0
(DOE & other),,EA,10,4,4,0,229.0,2006.0,2018.0
(DOE & other),,EIS,19,9,9,0,570.0,1996.0,2014.0
(DOE & other),,ALL,764,346,341,5,8.5,1996.0,2024.0
