state,cohort,n_complete,median_days,median_months,lat,lon,display
Nevada,BLM,24,27.5,0.9,39.106,-116.851,True
California,BLM,8,142.5,4.7,36.534,-119.773,True
Utah,BLM,4,31.0,1.0,39.106,-111.33,True
,BLM,2,702.0,23.1,,,False
New Mexico,BLM,2,43.5,1.4,34.476,-105.942,False
Idaho,BLM,1,0.0,0.0,43.565,-113.93,False
Nevada,DOE/Other,35,161.0,5.3,39.106,-116.851,True
Connecticut,DOE/Other,26,2.0,0.1,41.593,-72.357,True
California,DOE/Other,24,7.0,0.2,36.534,-119.773,True
Oklahoma,DOE/Other,23,4.0,0.1,35.505,-97.124,True
Colorado,DOE/Other,22,6.0,0.2,38.678,-105.513,True
Utah,DOE/Other,19,6.0,0.2,39.106,-111.33,True
Pennsylvania,DOE/Other,18,254.0,8.3,40.907,-77.45,True
Texas,DOE/Other,15,2.0,0.1,31.39,-98.786,True
Oregon,DOE/Other,14,481.0,15.8,43.908,-120.068,True
,DOE/Other,9,4.0,0.1,,,False
New Mexico,DOE/Other,9,139.0,4.6,34.476,-105.942,True
New York,DOE/Other,7,3.0,0.1,43.136,-75.145,True
Minnesota,DOE/Other,7,2.0,0.1,46.394,-94.604,True
Tennessee,DOE/Other,6,319.5,10.5,35.677,-86.456,True
Alaska,DOE/Other,6,10.5,0.3,,,False
Massachusetts,DOE/Other,6,40.5,1.3,42.364,-71.58,True
Idaho,DOE/Other,6,55.5,1.8,43.565,-113.93,True
Ohio,DOE/Other,6,9.5,0.3,40.221,-82.596,True
Wisconsin,DOE/Other,5,50.0,1.6,44.594,-89.994,True
Delaware,DOE/Other,5,8.0,0.3,38.678,-74.984,True
Maryland,DOE/Other,4,17.0,0.6,39.278,-76.646,True
Kansas,DOE/Other,4,11.0,0.4,38.42,-98.116,True
Washington,DOE/Other,4,49.5,1.6,47.423,-119.746,True
Illinois,DOE/Other,4,119.5,3.9,40.05,-89.378,True
New Jersey,DOE/Other,3,7.0,0.2,39.964,-74.234,True
South Dakota,DOE/Other,3,4.0,0.1,44.337,-99.724,True
Vermont,DOE/Other,3,8.0,0.3,44.251,-72.545,True
Iowa,DOE/Other,3,36.0,1.2,41.936,-93.371,True
North Carolina,DOE/Other,3,4.0,0.1,35.419,-78.469,True
Georgia,DOE/Other,3,326.0,10.7,32.333,-83.374,True
Montana,DOE/Other,3,245.0,8.0,46.823,-109.32,True
Nebraska,DOE/Other,3,4.0,0.1,41.336,-99.59,True
Virginia,DOE/Other,2,281.5,9.2,37.563,-78.201,False
Indiana,DOE/Other,2,333.0,10.9,40.05,-86.081,False
Michigan,DOE/Other,2,4.5,0.1,43.136,-84.687,False
Florida,DOE/Other,2,367.5,12.1,27.874,-81.685,False
Hawaii,DOE/Other,2,1.0,0.0,,,False
Louisiana,DOE/Other,1,448.0,14.7,30.618,-92.272,False
Kentucky,DOE/Other,1,12.0,0.4,37.392,-84.767,False
Missouri,DOE/Other,1,4.0,0.1,38.335,-92.514,False
New Hampshire,DOE/Other,1,1159.0,38.1,43.393,-71.392,False
Wyoming,DOE/Other,1,4.0,0.1,43.05,-107.256,False
Mississippi,DOE/Other,1,2.0,0.1,32.676,-89.806,False
Rhode Island,DOE/Other,1,1.0,0.0,41.593,-71.124,False
