row_type,process_type,yr,n,median_months,months,cohort
ce_year,CE,2009,3,0.1,,DOE/Other
ce_year,CE,2010,128,0.2,,DOE/Other
ce_year,CE,2011,75,0.5,,DOE/Other
ce_year,CE,2011,1,0.3,,BLM
ce_year,CE,2012,49,18.5,,DOE/Other
ce_year,CE,2013,1,2.2,,BLM
ce_year,CE,2013,13,18.4,,DOE/Other
ce_year,CE,2014,1,5.7,,BLM
ce_year,CE,2014,3,28.3,,DOE/Other
ce_year,CE,2015,1,0.7,,BLM
ce_year,CE,2015,5,0.1,,DOE/Other
ce_year,CE,2016,1,0.0,,BLM
ce_year,CE,2016,2,0.1,,DOE/Other
ce_year,CE,2017,2,0.2,,DOE/Other
ce_year,CE,2017,6,1.1,,BLM
ce_year,CE,2018,3,0.5,,BLM
ce_year,CE,2018,2,0.1,,DOE/Other
ce_year,CE,2019,5,0.6,,BLM
ce_year,CE,2020,4,3.0,,BLM
ce_year,CE,2021,20,0.1,,DOE/Other
ce_year,CE,2021,6,0.2,,BLM
ce_year,CE,2022,6,4.7,,BLM
ce_year,CE,2022,10,0.1,,DOE/Other
ce_year,CE,2023,6,2.6,,BLM
ce_year,CE,2023,16,0.1,,DOE/Other
ce_year,CE,2024,1,6.1,,BLM
ce_year,CE,2024,5,0.2,,DOE/Other
ce_year,CE,2025,1,25.8,,BLM
ea_eis_project,EA,2006,,,4.4,DOE/Other
ea_eis_project,EA,2010,,,0.0,BLM
ea_eis_project,EA,2010,,,3.2,DOE/Other
ea_eis_project,EA,2012,,,10.6,DOE/Other
ea_eis_project,EA,2018,,,45.0,DOE/Other
ea_eis_project,EA,2020,,,8.5,BLM
ea_eis_project,EA,2025,,,12.0,BLM
ea_eis_project,EA,2025,,,7.0,BLM
ea_eis_project,EIS,1996,,,11.3,DOE/Other
ea_eis_project,EIS,2000,,,106.9,BLM
ea_eis_project,EIS,2010,,,8.9,DOE/Other
ea_eis_project,EIS,2011,,,25.3,DOE/Other
ea_eis_project,EIS,2011,,,24.9,BLM
ea_eis_project,EIS,2012,,,18.7,DOE/Other
ea_eis_project,EIS,2012,,,1.3,DOE/Other
ea_eis_project,EIS,2012,,,26.0,DOE/Other
ea_eis_project,EIS,2013,,,16.6,DOE/Other
ea_eis_project,EIS,2013,,,38.7,BLM
ea_eis_project,EIS,2014,,,19.1,DOE/Other
ea_eis_project,EIS,2014,,,22.0,DOE/Other
ea_eis_project,EIS,2020,,,138.0,BLM
ea_eis_project,EIS,2020,,,2.4,BLM
