code_norm,code_description,n,pct,period,law,scope,n_win,n_bse
A1,"Technical/financial assistance, advice, training & education",759,11.389555822328932,spike window,ARRA,All CE,6664,6529
A10,A10,39,0.5852340936374549,spike window,ARRA,All CE,6664,6529
A11,Technical advice and planning assistance,1201,18.02220888355342,spike window,ARRA,All CE,6664,6529
A12,A12,43,0.6452581032412965,spike window,ARRA,All CE,6664,6529
A13,A13,42,0.6302521008403361,spike window,ARRA,All CE,6664,6529
A14,A14,42,0.6302521008403361,spike window,ARRA,All CE,6664,6529
A15,A15,36,0.5402160864345739,spike window,ARRA,All CE,6664,6529
A2,A2,49,0.7352941176470589,spike window,ARRA,All CE,6664,6529
A2.3,A2.3,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
A22,A22,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
A3,A3,4,0.060024009603841535,spike window,ARRA,All CE,6664,6529
A4,A4,38,0.5702280912364946,spike window,ARRA,All CE,6664,6529
A5,A5,37,0.5552220888355343,spike window,ARRA,All CE,6664,6529
A5.1,A5.1,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
A6,A6,37,0.5552220888355343,spike window,ARRA,All CE,6664,6529
A7,A7,172,2.581032412965186,spike window,ARRA,All CE,6664,6529
A8,A8,72,1.0804321728691477,spike window,ARRA,All CE,6664,6529
A9,"Information gathering, data analysis & document preparation",2442,36.644657863145255,spike window,ARRA,All CE,6664,6529
B1,B1,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
B1.1,B1.1,3,0.045018007202881155,spike window,ARRA,All CE,6664,6529
B1.10,B1.10,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
B1.11,B1.11,43,0.6452581032412965,spike window,ARRA,All CE,6664,6529
B1.12,B1.12,19,0.2851140456182473,spike window,ARRA,All CE,6664,6529
B1.13,B1.13,87,1.3055222088835534,spike window,ARRA,All CE,6664,6529
B1.14,B1.14,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
B1.15,B1.15,207,3.1062424969987994,spike window,ARRA,All CE,6664,6529
B1.16,B1.16,56,0.8403361344537815,spike window,ARRA,All CE,6664,6529
B1.17,B1.17,25,0.3751500600240096,spike window,ARRA,All CE,6664,6529
B1.18,B1.18,20,0.30012004801920766,spike window,ARRA,All CE,6664,6529
B1.19,B1.19,26,0.39015606242497,spike window,ARRA,All CE,6664,6529
B1.2,B1.2,64,0.9603841536614646,spike window,ARRA,All CE,6664,6529
B1.20,B1.20,15,0.22509003601440578,spike window,ARRA,All CE,6664,6529
B1.21,B1.21,15,0.22509003601440578,spike window,ARRA,All CE,6664,6529
B1.22,B1.22,53,0.7953181272509003,spike window,ARRA,All CE,6664,6529
B1.23,B1.23,108,1.6206482593037215,spike window,ARRA,All CE,6664,6529
B1.24,B1.24,141,2.1158463385354143,spike window,ARRA,All CE,6664,6529
B1.25,B1.25,52,0.78031212484994,spike window,ARRA,All CE,6664,6529
B1.26,B1.26,26,0.39015606242497,spike window,ARRA,All CE,6664,6529
B1.264,B1.264,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
B1.27,B1.27,51,0.7653061224489796,spike window,ARRA,All CE,6664,6529
B1.28,B1.28,46,0.6902761104441777,spike window,ARRA,All CE,6664,6529
B1.29,B1.29,27,0.40516206482593037,spike window,ARRA,All CE,6664,6529
B1.3,Routine maintenance activities,402,6.032412965186074,spike window,ARRA,All CE,6664,6529
B1.30,B1.30,29,0.43517406962785116,spike window,ARRA,All CE,6664,6529
B1.31,"Installation of fences, gates, and signs",124,1.8607442977190876,spike window,ARRA,All CE,6664,6529
B1.32,B1.32,192,2.881152460984394,spike window,ARRA,All CE,6664,6529
B1.33,B1.33,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
B1.35,B1.35,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
B1.4,B1.4,97,1.4555822328931574,spike window,ARRA,All CE,6664,6529
B1.5,B1.5,48,0.7202881152460985,spike window,ARRA,All CE,6664,6529
B1.6,B1.6,16,0.24009603841536614,spike window,ARRA,All CE,6664,6529
B1.7,B1.7,131,1.9657863145258103,spike window,ARRA,All CE,6664,6529
B1.8,B1.8,16,0.24009603841536614,spike window,ARRA,All CE,6664,6529
B1.9,B1.9,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
B2,B2,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
B2.1,B2.1,137,2.0558223289315727,spike window,ARRA,All CE,6664,6529
B2.2,B2.2,221,3.316326530612245,spike window,ARRA,All CE,6664,6529
B2.3,B2.3,74,1.1104441776710685,spike window,ARRA,All CE,6664,6529
B2.32,B2.32,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
B2.4,B2.4,4,0.060024009603841535,spike window,ARRA,All CE,6664,6529
B2.5,B2.5,817,12.259903961584634,spike window,ARRA,All CE,6664,6529
B2.6,B2.6,2,0.030012004801920768,spike window,ARRA,All CE,6664,6529
B3,B3,1,0.015006002400960384,spike window,ARRA,All CE,6664,6529
B3.1,Site characterization and environmental monitoring,419,6.287515006002401,spike window,ARRA,All CE,6664,6529
