law,scope,period,n,pct_cited
ARRA,All CE,spike window,7014,59.709153122326775
BIL,All CE,spike window,10694,0.4020946325042079
BIL,All CE,baseline,12541,0.007973845785822503
IRA,All CE,spike window,8260,0.06053268765133172
IRA,All CE,baseline,13662,0.021958717610891524
ARRA,Decarb CE,spike window,4613,61.651853457619765
BIL,Decarb CE,spike window,3848,0.7016632016632017
BIL,Decarb CE,baseline,3532,0
IRA,Decarb CE,spike window,3126,0.12795905310300704
IRA,Decarb CE,baseline,4094,0.024425989252564728
ARRA,Fossil CE,spike window,632,76.58227848101265
BIL,Fossil CE,spike window,1753,0.17113519680547634
BIL,Fossil CE,baseline,2346,0
IRA,Fossil CE,spike window,1357,0
IRA,Fossil CE,baseline,2445,0
ARRA,All EA,spike window,168,45.83333333333333
BIL,All EA,spike window,399,1.7543859649122806
BIL,All EA,baseline,714,0
IRA,All EA,spike window,337,4.747774480712167
IRA,All EA,baseline,733,0.4092769440654843
ARRA,All EIS,spike window,297,25.252525252525253
BIL,All EIS,spike window,206,17.475728155339805
BIL,All EIS,baseline,431,3.7122969837587005
IRA,All EIS,spike window,222,18.91891891891892
IRA,All EIS,baseline,390,8.717948717948717
