candidate_category,candidate_label,n_ce_shaped,n_dated,n_post_fra,n_pre_fra,n_undated,postfra_extraction_run_at,postfra_llm_run_at
TOTAL,TOTAL,215,160,11,149,55,2026-07-22T17:34:48.813181+00:00,
Transmission__upgrade,Transmission — upgrade,26,16,2,14,10,2026-07-22T17:34:48.813181+00:00,
Other Clean__land_or_row_authorization,Other Clean — land_or_row_authorization,21,19,0,19,2,2026-07-22T17:34:48.813181+00:00,
Wind__other,Wind — other,17,10,0,10,7,2026-07-22T17:34:48.813181+00:00,
Other Clean__other,Other Clean — other,12,8,0,8,4,2026-07-22T17:34:48.813181+00:00,
Solar__interconnection,Solar — interconnection,10,10,1,9,0,2026-07-22T17:34:48.813181+00:00,
Other Clean__new_build,Other Clean — new_build,10,9,2,7,1,2026-07-22T17:34:48.813181+00:00,
Wind__research_or_demonstration,Wind — research_or_demonstration,9,8,0,8,1,2026-07-22T17:34:48.813181+00:00,
Solar__new_build,Solar — new_build,8,6,1,5,2,2026-07-22T17:34:48.813181+00:00,
Solar__land_or_row_authorization,Solar — land_or_row_authorization,8,8,0,8,0,2026-07-22T17:34:48.813181+00:00,
Biomass__other,Biomass — other,7,6,0,6,1,2026-07-22T17:34:48.813181+00:00,
Energy Storage__manufacturing,Energy Storage — manufacturing,7,5,0,5,2,2026-07-22T17:34:48.813181+00:00,
Solar__other,Solar — other,7,6,1,5,1,2026-07-22T17:34:48.813181+00:00,
Nuclear__research_or_demonstration,Nuclear — research_or_demonstration,7,4,1,3,3,2026-07-22T17:34:48.813181+00:00,
Geothermal__exploration,Geothermal — exploration,6,3,0,3,3,2026-07-22T17:34:48.813181+00:00,
Geothermal__other,Geothermal — other,4,3,0,3,1,2026-07-22T17:34:48.813181+00:00,
Nuclear__land_or_row_authorization,Nuclear — land_or_row_authorization,4,3,0,3,1,2026-07-22T17:34:48.813181+00:00,
Other Clean__research_or_demonstration,Other Clean — research_or_demonstration,4,4,0,4,0,2026-07-22T17:34:48.813181+00:00,
Geothermal__research_or_demonstration,Geothermal — research_or_demonstration,4,0,0,0,4,2026-07-22T17:34:48.813181+00:00,
CCS__research_or_demonstration,CCS — research_or_demonstration,3,2,1,1,1,2026-07-22T17:34:48.813181+00:00,
Other Clean__upgrade,Other Clean — upgrade,3,1,1,0,2,2026-07-22T17:34:48.813181+00:00,
Biomass__new_build,Biomass — new_build,3,2,0,2,1,2026-07-22T17:34:48.813181+00:00,
Wind__upgrade,Wind — upgrade,3,2,0,2,1,2026-07-22T17:34:48.813181+00:00,
Wind__new_build,Wind — new_build,3,2,0,2,1,2026-07-22T17:34:48.813181+00:00,
Biomass__maintenance,Biomass — maintenance,2,2,0,2,0,2026-07-22T17:34:48.813181+00:00,
Nuclear__new_build,Nuclear — new_build,2,1,0,1,1,2026-07-22T17:34:48.813181+00:00,
Biomass__research_or_demonstration,Biomass — research_or_demonstration,2,1,0,1,1,2026-07-22T17:34:48.813181+00:00,
Energy Storage__other,Energy Storage — other,2,2,0,2,0,2026-07-22T17:34:48.813181+00:00,
Solar__research_or_demonstration,Solar — research_or_demonstration,2,1,0,1,1,2026-07-22T17:34:48.813181+00:00,
Nuclear__other,Nuclear — other,2,2,0,2,0,2026-07-22T17:34:48.813181+00:00,
Hydropower__research_or_demonstration,Hydropower — research_or_demonstration,2,1,0,1,1,2026-07-22T17:34:48.813181+00:00,
Solar__maintenance,Solar — maintenance,2,2,1,1,0,2026-07-22T17:34:48.813181+00:00,
Other Clean__assessment,Other Clean — assessment,2,2,0,2,0,2026-07-22T17:34:48.813181+00:00,
Biomass__land_or_row_authorization,Biomass — land_or_row_authorization,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Hydropower__assessment,Hydropower — assessment,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Hydropower__other,Hydropower — other,1,0,0,0,1,2026-07-22T17:34:48.813181+00:00,
Other Clean__maintenance,Other Clean — maintenance,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Nuclear__upgrade,Nuclear — upgrade,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Hydropower__new_build,Hydropower — new_build,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Nuclear__manufacturing,Nuclear — manufacturing,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Nuclear__assessment,Nuclear — assessment,1,0,0,0,1,2026-07-22T17:34:48.813181+00:00,
Solar__assessment,Solar — assessment,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Wind__land_or_row_authorization,Wind — land_or_row_authorization,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
Solar__upgrade,Solar — upgrade,1,1,0,1,0,2026-07-22T17:34:48.813181+00:00,
