candidate_label,point_rank,rank_median,rank_p25,rank_p75,rank_best,rank_worst,pct_top3,oat_novelty_up,oat_novelty_dn,oat_volume_up,oat_volume_dn,oat_diversity_up,oat_diversity_dn,oat_limits_up,oat_limits_dn,oat_mitigation_up,oat_mitigation_dn,oat_role_up,oat_role_dn
Solar — other,1,2,1,2,1,11,0.902,1,1,1,1,1,1,1,1,1,1,1,1
Other Clean — upgrade,2,4,2,8,1,20,0.478,2,3,4,2,4,2,2,5,2,3,2,2
Wind — research_or_demonstration,3,5,4,7,1,16,0.22,3,4,3,4,3,4,5,2,4,4,3,3
Other Clean — research_or_demonstration,4,4,3,8,2,17,0.369,4,5,5,3,5,3,3,3,3,6,4,4
Transmission — upgrade,5,5,1,13,1,28,0.448,9,2,2,7,2,7,4,4,5,2,5,5
Solar — interconnection,6,9,7,12,1,23,0.014,5,6,6,6,8,5,6,7,6,5,6,6
Energy Storage — manufacturing,7,9,6,13,3,24,0.011,6,7,7,5,6,6,7,6,7,7,7,7
Solar — new_build,8,11,8,17,1,29,0.028,7,8,8,8,7,8,8,8,9,8,8,8
Other Clean — new_build,9,13,9,18,4,29,0.0,8,9,9,9,9,9,9,9,11,9,9,9
Nuclear — land_or_row_authorization,10,11,7,15,3,29,0.01,10,11,11,10,10,11,12,10,8,11,10,10
Nuclear — research_or_demonstration,11,11,8,16,3,29,0.006,11,13,10,11,11,10,10,11,10,10,11,11
Nuclear — new_build,12,15,11,18,6,28,0.0,12,14,12,12,12,12,11,13,12,12,12,12
Biomass — new_build,13,17,13,23,8,29,0.0,13,16,13,13,13,14,13,14,14,13,13,13
Energy Storage — other,14,14,6,23,1,30,0.142,14,18,14,14,14,13,15,12,12,14,14,14
Other Clean — land_or_row_authorization,15,13,9,16,1,23,0.074,16,10,15,16,16,15,14,16,16,15,15,15
Other Clean — other,16,12,7,16,1,26,0.115,17,12,16,15,15,17,17,15,15,16,16,16
Biomass — research_or_demonstration,17,15,10,19,2,26,0.048,18,17,17,17,17,16,16,18,17,18,17,17
Other Clean — assessment,18,29,20,31,14,32,0.0,15,28,18,18,18,18,20,17,18,17,18,18
Hydropower — research_or_demonstration,19,22,16,26,2,31,0.01,19,19,20,19,20,19,18,22,22,19,19,19
Wind — other,20,15,8,21,2,27,0.05,23,15,19,22,19,21,19,21,20,20,20,20
Geothermal — other,21,20,19,21,11,24,0.0,20,20,21,20,21,20,21,20,21,21,21,21
Geothermal — research_or_demonstration,22,19,15,24,5,31,0.0,21,21,22,21,22,22,23,19,19,22,22,22
Solar — maintenance,23,24,22,26,14,31,0.0,22,26,23,23,23,23,24,23,23,24,23,23
Wind — upgrade,24,28,24,30,13,31,0.0,24,27,24,24,24,24,25,24,26,23,24,24
Wind — new_build,25,23,16,26,2,30,0.012,25,22,25,25,25,25,22,29,25,25,25,25
Solar — research_or_demonstration,26,21,12,26,1,32,0.062,27,23,27,26,27,26,28,25,24,29,26,26
Solar — land_or_row_authorization,27,23,19,26,7,29,0.0,28,24,26,27,28,27,26,28,27,26,27,27
Biomass — other,28,24,20,27,7,32,0.0,29,25,28,28,26,29,29,27,28,27,28,28
Biomass — maintenance,29,29,24,31,5,32,0.0,30,28,29,29,29,28,27,31,31,28,29,29
CCS — research_or_demonstration,30,27,25,29,13,31,0.0,31,30,30,30,30,31,30,30,30,30,30,30
Nuclear — other,31,30,25,32,15,32,0.0,26,32,31,31,31,30,31,26,29,31,31,31
Geothermal — exploration,32,31,30,32,19,32,0.0,32,31,32,32,32,32,32,32,32,32,32,32
