energy_group,tech_group,process_group,n,p10,p25,median,p75,p90
Decarbonization,Biomass,CE,439,0.0328515111695138,0.1314060446780552,0.5913272010512484,5.568331143232589,24.36268068331143
Decarbonization,Biomass,EA,8,3.751642575558476,5.757227332457293,9.034165571616295,11.48981603153745,16.215505913272008
Decarbonization,Biomass,EIS,2,25.118265440210248,25.443495400788436,25.985545335085412,26.527595269382388,26.852825229960576
Decarbonization,CCS,CE,935,0,0.0657030223390276,0.22996057818659657,0.6241787122207622,2.5032851511169527
Decarbonization,CCS,EA,2,5.68659658344284,8.007555847568987,11.875821287779237,15.744086727989485,18.065045992115632
Decarbonization,Energy Storage,CE,334,0.0328515111695138,0.1314060446780552,0.45992115637319314,1.281208935611038,15.14454664914586
Decarbonization,Energy Storage,EA,17,5.348226018396846,9.756898817345597,10.183968462549277,15.045992115637318,15.952693823915899
Decarbonization,Geothermal,CE,376,0.0328515111695138,0.0657030223390276,0.36136662286465177,9.617279894875164,24.227989487516425
Decarbonization,Geothermal,EA,8,2.253613666228647,4.106438896189225,7.720105124835742,10.980617608409986,21.905387647831795
Decarbonization,Geothermal,EIS,14,4.372536136662285,12.606767411300918,20.532194480946124,25.84592641261498,86.4159001314061
Decarbonization,Hydropower,CE,126,0.0492772667542707,0.19710906701708278,1.314060446780552,22.18298291721419,46.123521681997374
Decarbonization,Hydropower,EA,7,4.185282522996058,7.7858081471747695,10.775295663600525,17.80551905387648,30.992115637319326
Decarbonization,Hydropower,EIS,16,20.22010512483574,31.29927726675427,49.81931668856767,62.81208935611038,75.75558475689881
Decarbonization,Nuclear,CE,481,0.09855453350854139,0.22996057818659657,0.45992115637319314,0.6898817345597897,1.4126149802890933
Decarbonization,Nuclear,EA,8,0,2.5131406044678055,4.730617608409987,23.776281208935607,30.95597897503285
Decarbonization,Nuclear,EIS,24,10.752299605781864,15.177398160315374,21.879106438896187,51.23193166885676,84.57293035479631
Decarbonization,Other Conventional,CE,348,0,0.0657030223390276,0.22996057818659657,0.8212877792378449,5.7621550591327235
Decarbonization,Other Conventional,EA,2,4.244415243101184,6.323915900131405,9.789750328515112,13.255584756898816,15.335085413929036
Decarbonization,Other Conventional,EIS,1,73.91590013140605,73.91590013140605,73.91590013140605,73.91590013140605,73.91590013140605
Decarbonization,Other Renewable,CE,251,0.0328515111695138,0.0657030223390276,0.22996057818659657,1.1005256241787122,11.695137976346912
Decarbonization,Other Renewable,EA,1,15.308804204993429,15.308804204993429,15.308804204993429,15.308804204993429,15.308804204993429
Decarbonization,Other Renewable,EIS,2,73.74178712220761,80.62582128777923,92.09921156373193,103.57260183968462,110.45663600525623
Decarbonization,Solar,CE,723,0.0328515111695138,0.1314060446780552,0.657030223390276,4.155716162943495,19.90144546649147
Decarbonization,Solar,EA,52,1.4947437582128777,4.8784494086727985,13.682654402102497,25.657030223390272,36.553876478317996
Decarbonization,Solar,EIS,48,5.673455978975033,11.982588699080157,22.798948751642573,44.086727989487514,64.12286465177402
Decarbonization,Transmission,CE,3005,0.09855453350854139,0.36136662286465177,1.4126149802890933,6.636005256241787,21.83311432325887
Decarbonization,Transmission,EA,86,0.8541392904073587,3.7204336399474376,12.253613666228645,24.236202365308802,49.917871222076215
Decarbonization,Transmission,EIS,116,9.461235216819972,25.08212877792378,41.65571616294349,73.74342969776609,106.75098554533508
Decarbonization,Utilities,CE,1773,0.0328515111695138,0.19710906701708278,0.6241787122207622,2.562417871222076,10.965834428383705
Decarbonization,Utilities,EA,38,1.3107752956636007,2.619908015768725,4.8784494086727985,13.9865308804205,39.372536136662305
Decarbonization,Utilities,EIS,25,3.1077529566360065,16.62286465177398,34.98685939553219,52.79237844940867,111.27463863337715
Decarbonization,Wind,CE,283,0.0657030223390276,0.2628120893561104,2.135348226018397,21.27135348226018,42.51642575558476
Decarbonization,Wind,EA,31,2.9894875164257555,5.2069645203679364,12.81208935611038,22.010512483574246,38.86333771353482
Decarbonization,Wind,EIS,50,6.662286465177399,12.253613666228645,30.732588699080154,58.63173455978975,136.9185282522996
Fossil Fuel,Coal,CE,434,0.0328515111695138,0.09855453350854139,0.2628120893561104,1.0512483574244416,4.27069645203679
Fossil Fuel,Coal,EA,8,12.716819973718792,17.0335085413929,19.76018396846255,38.625164257555845,75.78515111695137
Fossil Fuel,Coal,EIS,47,16.005256241787123,22.93035479632063,41.4257555847569,65.06241787122207,127.72667542706962
Fossil Fuel,Land-based Oil & Gas,CE,3939,0.0657030223390276,0.2628120893561104,0.9526938239159001,3.712220762155059,17.904073587385017
