trigger,process_type,n,total,share
Direct Action,CE,3087,3181,0.9704495441685005
Direct Action,EA,38,3181,0.011945928953159385
Direct Action,EIS,56,3181,0.017604526878340146
Funding,CE,9072,9210,0.9850162866449511
Funding,EA,116,9210,0.01259500542888165
Funding,EIS,22,9210,0.0023887079261672097
Land,CE,3273,3801,0.8610891870560379
Land,EA,220,3801,0.05787950539331755
Land,EIS,308,3801,0.08103130755064457
PMA/TVA,CE,3273,3535,0.9258840169731258
PMA/TVA,EA,125,3535,0.03536067892503536
PMA/TVA,EIS,137,3535,0.03875530410183876
Permit,CE,172,319,0.5391849529780565
Permit,EA,19,319,0.05956112852664577
Permit,EIS,128,319,0.4012539184952978
Program,CE,451,543,0.8305709023941068
Program,EA,29,543,0.053406998158379376
Program,EIS,63,543,0.11602209944751381
Property Transaction,CE,42,53,0.7924528301886793
Property Transaction,EA,2,53,0.03773584905660377
Property Transaction,EIS,9,53,0.16981132075471697
