candidate_id,label,evidence_span
2f55795bbd13111f4185,neither,"We request that comments be received by April 5, 2005"
0b064c904d12114fc0fa,neither,"the March 26, 2018, U.S. Montana District Court order"
5ed56a10494473a9e7c2,neither,"TVA estimated that the Draft EIS would be published in June 2017"
ac636f1f5845a61131c9,neither,"Final EIS (DOE/EIS-0287, September 2002)"
64a4234da8061d93c6f5,neither,"Attachment 4-1 AZ-1790-1 August 2013"
d3c2c522af831648ef80,neither,"The grant was issued to Wexpro Company on November 6, 1984"
1e4c672940087f4593d6,initiation,"This request was approved on April 13, 2015, and pre-filing Docket No. PF15-20-000 was established"
1729497a449c3ebda764,initiation,"Notice of Intent to Prepare an EA"
327748b16c37539c80b3,neither,"public meeting on October 18, 2005, to discuss the environmental scoping process"
66175324ae96eac84dc2,decision,"DOI-BLM-MT-C020-2016-0078-CX June 20, 2016 WADDLE CREEK FREE USE PERMIT"
0181e673ef4df79c2b9b,initiation,"NOI ... was published in the Federal Register on May 22, 2009"
6e208061b7e9cafbb5ff,neither,"Jeff Glass December 5, 2013"
b59a1f7ba078a1564fd2,neither,"November 19, 2020 ... Request for Extension of Public Comment Period"
e4e641c4248e1ddb1852,neither,"The second scoping period was held from September 17, 2009 to October 19, 2009"
fcd0dd561ed9dde3fa51,initiation,"NORA was published in the Federal Register on March 30, 2022, which initiated a 45-day comment period"
c813986d785052a75099,neither,"Construction ... would commence approximately the first to middle of June 2022"
e6f528ed8fd0ebf51092,neither,"Signature and Date: Garrett Manion 1/11/2021"
14b2b922bce779eb64aa,neither,"EA #NM-060-02-0111 dated July 21, 2000"
7935a986a2965ac24765,neither,"Initiation letters were sent ... February 9, 2022 to the Confederated Tribes"
6e874403103c59174a7d,neither,"Agency Early Coordination Letter, August 5, 2019"
ff74c68d3df85ad3b627,neither,"In July 2002, legislation was passed"
e9f5c559f65634dbc277,neither,"Certificate of Environmental Compatibility Approved December 11, 2008"
bbbc381f6887513afd2f,neither,"On February 4, 2022, DOE issued a Request for Task Order Proposal (RTP)"
199b195cebb7da96424a,neither,"In April 2021 ... (historical context)"
e7600603159fae8c5892,neither,"The final NEPA scoping meeting was held on June 24, 2015"
339b3edecdf92f3046d2,neither,"USA WYW-134634 1/3/2025"
7d50a33799666257432e,neither,"The authorization would expire October 15, 2013"
669d4fc53ce34f312bfa,neither,"On September 9, 2020, Midstate submitted additional information"
93df518bec3222104330,neither,"two on February 12, 2020 ... public-scoping webinars"
ef5e8ebe599abde08f7a,neither,"amend the certificate it received from the Commission on October 31, 2002"
2d6548376e94e906338e,neither,"its December 5, 2012, letter to Brenda Williams"
72d274550d007254e70e,neither,"As of November 2011, there were approximately 120 renewable projects proposed"
35ffc40e675166ffbafc,neither,"attended two of three onsites (August 2, 2017 and February 6, 2018)"
166319edda19f9f5655c,neither,"The open scoping period was held from August 1 through October 14, 2014"
f1fd1fdeca4ef6c8de0f,initiation,"Lummi Nation Sent NOI for export project issued September 24, 2012"
20746040c9f3f6c5256a,neither,"on February 21, 2023, FERC authorized the return to full commercial service"
ccaeabac1d1f699bb45e,neither,"The ROW grant was issued on February 1, 2012 and expires December 31, 2041"
a2dff2a2f5c8a2eaa691,initiation,"On October 13, 2015, Makoil Inc. submitted a renewal request"
6080b05446d389d26e6a,initiation,"On October 11, 2020, this office received a request ... for a right-of-way (ROW) assignment"
bb2cdfc5aff40537f552,neither,"5-1 August 2016 Final Programmatic EIS Record of Decision"
ef065cdc635cb200ce63,neither,"The NOI also started the scoping period that ended on October 24, 2011"
8cfd5a081a2bad6e4258,neither,"Performance Period: 1/15/2010 - 12/15/2011"
9e4e81fbef4dc9c0ae04,neither,"grazing permit would run from January 1, 2021"
b1a3185998ebd21bc374,neither,"Performance Period: 7/12/2010 - 7/11/2012"
efeb7fbc2d0188914a13,neither,"ANL NEPA Reviewer: Joel V. Stauber Date: 6/8/15"
1201d3b572882639eff1,decision,"Federal Register / March 27, 2015 / Notices ... Final EIS ... lease and mine plan modifications approved"
68f84cb09120f51c1911,initiation,"On July 18, 2016, Valley Electric Association submitted their Right-of-Way (ROW) renewal and amendment application"
3626560e133ab9e8fd7b,neither,"to NRC Document Control Desk, dated August 11, 2017"
27b8c0d8098fa929fb70,neither,"DOE held online public scoping meetings on July 21, 2021, and July 22, 2021"
5191022335e25ce9efcf,neither,"for the remainder of the existing term (until February 28, 2019)"
120cd6299b9b3909c2a2,neither,"through consultation on November 24, 2017"
ec0f92effc4b4b781341,initiation,"FERC issues Notice of Application and Establishing Intervention Deadline ... August 1, 2022"
6cdeeec9736d00ee9fbd,neither,"90-day scoping period initially set to expire on July 16, 2012"
caab2ada78c697f79632,neither,"Signature and Date: Joe Palma, 5/7/2021"
4c4d08b334ec07102bcd,neither,"in April 2006, the California State Lands Commission issued the Geothermal Prospecting Permit"
c24dd205061b78bb94f1,neither,"Doc #: 110 Filed: 03/13/20"
b43163b7c6ce44187879,neither,"Bureau of Indian Affairs, October 2016; DOI-BLM-MT-C030-2019-0066-EA"
2b568d0aa881f7229988,initiation,"applied for ROW of an existing dirt road on October 22, 2015"
c7cad2b5e1cb03e6b55d,neither,"We held four public scoping sessions in September 2016"
78203ef310336217384c,decision,"There was also a CX; Warriors Well Pad Name Changes approved May 23, 2023"
86597edcd5ed5b66868a,neither,"On 27 September 2023, NMFS issued a notice of issuance of the IHA"
381f35f0d1b7fbbd1754,neither,"Grazing would be in accordance with Willman Activity Plan dated 2/27/2005"
17e989c2fa9231c2e385,neither,"applied for use of BLM lands from April 14, 2013 – December 31, 2013"
2c4efa70c1ec23a70ff4,neither,"This access road was originally authorized in October 1993"
5eb536eb67c8d69caf05,neither,"In September 2015, the Council adopted a preliminary range of alternatives"
416ba9fac5afddfbd401,neither,"four additional public scoping meetings were held in September 2013"
da49160f95a7428e4689,neither,"On October 16, 2012, Corpus Christi received DOE authorization to export"
ad69e7f3d63637c3e061,initiation,"Native Village of Minto March 4, 2015 FERC issued NOI"
1976d82a54ec700aa503,initiation,"On April 11, 2013, Burlington Resources filed an application to renew existing right-of-way (ROW) grant"
f066b330f6aff0e300b4,neither,"ten year grazing permit (3/1/2017 – 2/28/2027)"
58c38c6e937921fc2386,decision,"FEIS and FS Record of Decision (ROD) ... were released by the FS in December 2011"
764bc4f8d6821c5ac9e3,neither,"tribes to attend the public and agency scoping meetings (April 8, 2019)"
799512074ffa49c29fef,neither,"based on the approach in the April 1, 2011 FSH 1909.15"
127e5ca871de224ce98a,neither,"approved by CFA and NCPC in July 2015"
54127d45e65c8e05180d,neither,"(Form 1842-1, September 2020)"
7ecc837dabc054047ba9,neither,"Signature and Date: David Baird 8/21/2020"
e3384f6bc936ed814413,neither,"Project Start Date: June 2015 Project End Date: July 2015"
e6e721ce36d505ddf400,neither,"The applicable Categorical Exclusion, effective May 27, 2008"
4192ae99b6dbb6b582f0,neither,"Draft: August 1999"
60a6be8ff8e1bb9ad440,neither,"The compensation fee received on April 1, 2004"
0ea7638c5daca19da271,neither,"the power line ... expired on April 25, 2010"
a07cf60b12fbd54a390f,neither,"RECEIVED AUG 03 2018"
dee6ac8b235ed8603ecd,neither,"A Project Cooperation Agreement was executed on 7 December 2000"
e3b31141a07b48eb3743,neither,"File Date ... 10/31/2011"
9f92bf17106554d8cc41,neither,"On September 24, 2015, DOE issued an order granting authorization to Texas LNG to export ... to free trade agreement countries"
13df6f84a43d867b1de3,neither,"Federal Register / Vol. 82, No. 69 / April 12, 2017 / Notices"
4fcceb4fc8163c057e87,initiation,"On August 14, 2013, DOE made a determination to prepare a Supplemental Environmental Assessment"
3a934b2f4935b4b34542,neither,"1994a compliance date 3/25/1994"
97e25f43e130856e269c,neither,"required cleanup of chemically contaminated soils by June 30, 2017"
b2857cd54381cc5c2fa2,neither,"Final EIR anticipated in January 2014"
b9077af90b37768756cb,neither,"Environmental Assessment DOI-BLM-NM-P020-2020-0630-EA, dated 02/27/2020"
