candidate_id,label,evidence_span
9ba9754950ff4adf192e,neither,"public comments during a public hearing on [[March 26, 2019]]"
418dd39ae4fd5200e39b,initiation,"A scoping newsletter ... was sent on April 11, 2011"
fba111f960c2f4d85487,neither,"Final Environmental Impact Statement – December 2017"
1c5a52c6435cbc4e7910,neither,"Draft Environmental Impact Statement ... was released to the public on December 2, 2016"
8dc9143d243a2f646998,neither,"Informal consultation ... began in August 2002"
75b1112269ce00468c0d,neither,"Intensive: March 2020"
5e4ef1b2a9739879716d,neither,"Final EIS June 2015"
16af8264edefdba1dd8d,neither,"interviews were conducted between December 2022 and February 2023"
f257d082a5ad68af4398,initiation,"NOI ... published in the Federal Register on January 4, 2005"
0a1c57c977cba8d39183,neither,"A scoping period was provided for 30 days, ending on June 6, 2012"
18f3fefffed67f8bd7bc,neither,"hosted 13 public scoping meetings in January, February, and March 2013"
b160231a52c3661ca2ec,neither,"comment period for the SDEIS ran ... through December 23, 2013"
c28c03e21969eee1a1ed,neither,"Concurrence Point 4A ... reached on January 18, 2001"
046c2f6e08396fcc7552,neither,"meetings were held ... on March 30, 2010 in Bishop"
60567019ffb752813eb1,neither,"July 7, 2005 Letter ... Project Manager Change"
3bdfbd8233bcd4a61cea,neither,"October 2012 Final Environmental Impact Statement"
01477c196c70a2d3d0e3,neither,"additional analysis (dated December 20, 2019)"
54ca88e89badf36fbc65,neither,"public comment period that extended from June 21, 2013, to August 5, 2013"
f471fa2e4a0e507d4434,neither,"Final Supplemental Environmental Impact Statement July 2024"
079dfb2e9b7909529b24,neither,"45-day review period ending August 12, 2013"
b573f864540c3a0c4a87,initiation,"publication of the NOI in the Federal Register on December 21, 2012"
4d71ffc14bd6992b048b,neither,"public comment period closed on July 18, 2011"
899e24dfbd7470335be9,initiation,"NOI publication in the Federal Register on 16 January 2013"
d2b66165d4064a5eddf3,neither,"public hearings on March 7, 2017"
7d9e3e07d14ddfe17fc6,neither,"FINAL ENVIRONMENTAL IMPACT STATEMENT ... 03 MARCH 2025"
206fd34f317d4562be06,neither,"Construction began on the project in September 2010"
c8d8c73319ee044f84d5,neither,"Forest Service April 2015 Final Environmental Impact Statement"
e286979115357356cca5,neither,"Army Corps of Engineers, Jacksonville District, July 2017."
843a96af1e74dc6195f7,neither,"Final Environmental Impact Statement 7-2 July 2010"
91cb5b4f4e1c26d2f3a3,neither,"scoping period began on April 16, 2012, and closed on May 16, 2012"
39d96d12e50cbdeebb7e,neither,"comment period was extended ... to close on August 21, 2017"
c48e2d01bc1927ded299,neither,"Patuxent River Complex EIS Final March 2022"
6a1846666310278889cb,initiation,"A second NOI and legal notice were published on June 11, 2010"
779bc5d4e37498e68a0c,neither,"filed a notice on March 29, 2013 ... to reopen the public comment period"
9f587a9580112a43c3a8,initiation,"published the Determination of Significance/Scoping Notice in the SEPA Register on February 19, 2019"
1a05701b5a180c03c048,neither,"comment period for the Draft EIS was later extended to October 26, 2018"
7f4172ca21156a0198bb,neither,"between January 2000 through July 2008, 141 permits were approved"
0217730340e4f8969e31,neither,"On April 4, 2018, Grand Ronde Heritage Meetings ... occurred"
273997ad519822ea743e,neither,"6/10/2024 bi-weekly"
2b935461b6c0e44a3c8c,neither,"Application received May 2009 ... salvage/junk yard"
