candidate_id,label,evidence_span
9200fdc23c2766e1d7cb,neither,"Final EIR/EIS Interchange Project October 2012 (cover month)"
1e4108ca07ac6880827c,neither,"Little Cottonwood Canyon Final EIS Sept 2022 (cover month)"
24e1ef8ccffa13ef35ab,neither,"Greater Sage-Grouse Proposed LUPA/FEIS June 2015 (cover month)"
514d167e42c58c91c299,neither,"virtual public hearing held on Thursday, September 24, 2020"
7d9d9f74f73358643ca1,neither,"Draft EIS Chapter 2 Alternatives January 2025 (cover month)"
3607da3e3eebc517e8ab,neither,"Final CIS EIS February 2017 (cover month)"
016c3b122e524026c173,neither,"Draft EIS Chapter 4 January 2025 (cover month)"
ada3c9642bb1598b5a02,neither,"Commenting Entity Date Filed Pat Lunde August 24, 2016"
c65e5dc0dc31b56e6309,neither,"deadline for comment submission of February 7, 2011"
c3926ace22485c2b69b5,neither,"10/19/10 Meeting to discuss cultural resource avoidance"
12daf713386227448e03,initiation,"On June 15, 2015, Freeport Liquefaction filed an application with FERC"
6c379fcfe586a76ca43d,neither,"In October 2015 ... aerial herbicide treatments occurred"
f001d34a9ea64504fa07,neither,"requires the Corps to construct downstream fish passage by December 2023"
5de180d2a00f24945bfe,neither,"USFWS issued a BO and letter of concurrence in July 2018"
ea5b433c0265377e5142,neither,"requesting extension of the temporary deviation until May 31, 2005"
5b25eb34803dbe996ebb,neither,"Sponsor work session on October 19, 2017"
ca6b8b3004835e049999,neither,"Final EA for Utah Coal Pilot Plant (DOE/EA-1870) December 2011"
be0433b42bd3e5b0bc8f,neither,"Evaluation by: Erin Julianus and Dave Parker Date: 1/30/2015"
f8aad58eaca4a903fa6f,neither,"AZA 034158 Authorized 9/1/2007 Lease-Oil and Gas"
bfd66c3755c5c5e42ef9,neither,"Department of Housing and Urban Development, DOE/EE-2674, January 2023"
9b4dc8bd79d8bc675bc4,neither,"Section 3.3 Air Quality February 2020 Draft Project EIR/EIS"
fef26c2e2fbc4608937d,neither,"Coeur Rochester Mine Plan Amendment Draft EIS July 2015"
523304142379fbc060e1,neither,"Northern Branch Corridor SDEIS March 2017 (cover month)"
e931da56dcb6af1ec546,initiation,"Request for Scoping Comments Concerning the Environmental Review of Monticello Generating Plant 03/13/2023"
27ba082a08a70b03edde,neither,"DRECP Proposed LUPA and Final EIS TABLE OF CONTENTS October 2015"
bf67c8b4b1c6309124fb,neither,"Corridor Alternatives presented to the public in February 2001"
d1e0fe03e6f8660e98f1,neither,"FINAL ENVIRONMENTAL ASSESSMENT For Johnson Controls March 2010"
21bb1a987e875519f49f,initiation,"a tribal consultation letter followed by a scoping letter ... was sent out in May 2015"
b8be06497e936daf63e9,neither,"Battery Materials Processing Environmental Synopsis April 2023"
0404e2f1bc2c4bf9389f,neither,"Mertarvik Final Environmental Impact Statement, March 2018"
12053a0d9edf5ec9b1d5,neither,"Willow Creek was surveyed in July 2019"
