candidate_id,label,evidence_span
a96d64d2dec58fd5f50f,neither,"DOI-BLM-ORWA-L040-2023-0009 (NEPA case number)"
faaef6b3d618e775104e,neither,"Application (November 2015) route-variation tracking table"
04c27c5ef9eeb2771d1c,neither,"Expires: 10/26/2024 (operating license)"
4e4116ab3bcd12adcffc,neither,"DOI-BLM-ID-I040-2021-0004 (case number)"
197711e89cc11a85d2e6,neither,"LRDR CAFS FINAL EIS May 2021 (cover month)"
218ba652bdad984a2c83,neither,"Federal Way Link Extension Final EIS November 2016 (cover month)"
0be9e29a863ea1d463f9,neither,"sent letters on January 11th, 2022 inviting Tribes to consult"
f9551d255d75c3ae76a1,neither,"Notice of Exchange Proposal published August 31, 2016 in newspapers"
01d74aab0e51fdcc8690,neither,"Version September 11, 2017 (Memorandum of Agreement)"
e636648e42b28c39b32d,initiation,"FERC issued a Notice of Intent to Prepare an Environmental Impact Statement"
0c1270ef44a528a846d0,initiation,"Date NEPA Review Initiated: 5/21/2018"
9eb41cf4f3d6fdbb4fb8,neither,"11/5/2018 Formal Consultation Letter sent to tribes"
063029d671c22333e352,neither,"ROW grant issued in April 1972 (historical prior grant)"
3c2c513500bd8a1aa9a4,neither,"Final EIS REFERENCES February 2022 (cover month)"
2917166eb1a45facdc75,neither,"DBESP concurred on November 14, 2014"
e6f5f97ef0b92ac35fa0,neither,"30-day comment period which concluded on October 11, 2018"
dd000c14bf2bbc25cc22,decision,"Field Office Manager Date: 1/4/2023 (concur with NCO determination)"
a288b2b0100597541e91,neither,"3/16/2020 Heather Stewart Environmental Coordinator (specialist)"
4add84c1c6d909b5e115,neither,"received correspondence from the Caddo Nation on November 11, 2023"
c9bf5d6978a9a1179aac,decision,"GTO Review completed by Whitney Donoghue on 06/20/2023"
f8866fab7cbbe116436b,neither,"Blythe ROW grant issued November 2010 (inventory table)"
2db0198ae3cc1f285516,neither,"Between April and December 2010, when consultation was initiated"
16d980ce896dfb63ed5c,neither,"scoping comment period held October 4 to November 3, 2023"
37fa518636f67664c4f0,neither,"On May 27, 2021 filed late motions to intervene"
af3865e0611980d22f07,decision,"OIE NEPA review completed by Amy Lukens, 6/23/2023"
c8b559917fc6b1bfa977,neither,"PRRCT public meeting in Billings, Montana (February 23, 1999)"
1bb9dd5aece01eee96db,neither,"comment period began on March 6th 2015, ended April 20th"
7ee78a41f089dfd6b877,neither,"published in the Friday, December 1, 2023 Federal Register (Draft EIS NOA)"
2fbfb5c2a1d646c0d4d0,decision,"Authorized Official: /s/Nancy R. Baker October 2, 2019 Rawlins Field Manager"
26adec34565ed1cee945,neither,"comment period open through June 8, 1998"
1d0c0748c0672a6e1fd9,neither,"Panoche Valley Solar Facility Draft EIS September 2015 (cover month)"
1aa384dd99d93269c7dc,neither,"after its publication in March 2012 (EA publication)"
6c2bd905cb1b9a66f91c,neither,"30-day scoping comment period officially ended on February 14, 2022"
6c73f15af2c8986c57e5,neither,"On May 27, 2021 filed late motions to intervene"
578f407295771140ece2,initiation,"officially commenced on April 4, 2014, with publication of the Notice of Intent to Prepare an EIS"
4fdb613f3b45fb85bd42,neither,"DOI-BLM-ES-030-2015-0012 (case number)"
c8d05cceaf88b833f340,neither,"Farm Lands Brant Hallows 7/2/21 (specialist review)"
fba52def009ce2d509a8,neither,"keep the BMGR available after October 2024 (withdrawal expiration)"
00011cfaead1ff0b4e30,neither,"DOI-BLM-CA-N050-2023-0018 (case number)"
efe274564e4a2b82b2d5,neither,"published the Request for Proposals in November 2023 (RFP)"
150f535dd97070fff13a,neither,"9/13/10 Meeting to discuss cultural resources studies"
924b2acdba9034bc488a,neither,"during the October 2007 or June 2008 site visits"
db7740dca9de3fbe632b,neither,"Historic Property Survey Report (July 2018)"
f61d01e3af3b9b3850cb,neither,"Recommended by: JAMES SHEARER April 30, 2020 Archaeologist (specialist)"
67fa8312cc834471b85a,neither,"A draft EA was released on August 28, 1997"
2c6eb17da92ee4ea0571,neither,"UD Phase I Avian Risk Assessment, Final Report, January 2010"
ba71773619edd28e0dc6,neither,"90-day comment period, which ended on February 17, 2022"
24382e84461cef57f2bd,neither,"Major plans completed as of January 1990 (status snapshot)"
c2a20cfcac54ddca5170,decision,"SETO Review completed by Alex Colling on 08/11/22"
c34bdc85c1f0dee29e4d,neither,"DOI-BLM-CA-C080-2024-0009 (case number)"
135ad5707aad5dacae1e,neither,"Public response during the December 17, 2014 public meeting"
e30324691d90c0fdd917,decision,"GTO Review completed by Whitney Donoghue on 06/22/2023"
