project_id,process_type,true_initiation_candidate_id,true_decision_candidate_id
3399fbeab1c021a1a4ec201286cc1f46,EA,,
ee6105b6350b3884f275c1ed8c879e1a,EA,,
a00916b7eb8ee8d89afb3502232b0b29,EIS,,
b0c9cafb58e5e8c46da4ffcea6a96eef,EIS,,
a1f3e89c633983feabe83cd5307fa0a3,EIS,,
0202a6478434fc2f6576361d70632705,EA,,
492372de5462a040f492641f5f47b2db,EIS,,
a69b25225ced0fb852929f7b216b73e4,EA,,
dba0ded679affa4bbcbd184d4903cef7,EIS,,
2f7da1f2b2bd5ca24aea5f3f527c1c3d,EIS,,
8e8e050eaaecae71af1c09576a91395b,EA,,
39aadfff12371dd83c682b81c33e881b,EA,,
c72942e2dd2bf4c25fc464fff75604b0,EA,,
3956f18d15f310aae3b377e47a4f4972,EIS,,
d4ea075fa8e887157832490d0e9cf9bb,EIS,,
d4c6d522036fca5f848c90548f2e4b25,EIS,,
0d8ff97480cedec65e5be05b7316b156,EIS,,
c8af1854982185086736c7b88ca00274,EA,,
b2b5333f47aa7b6d6e7de7dc69293028,EA,,
31c4e2d27c851a019939c46f8d531518,EIS,,
bc2a07ff388efdf538d49da13859870b,EA,,
f07235cfb2ff8def1ad75bb8b0d7abd5,EA,,
363a9a0bb7bb0821bb486a9d43d2d95e,EIS,,
ee9a641b3a4793b2d763e0fa125994cf,EA,,
17293e9d4266454be32955dfdaa642d3,EA,,
edd3abcceda52ee8e57862b7972d89c6,EIS,,
0610b63f753db071c95ef9f3b9a8f7e0,EA,,
7f00c100d36bb68241a03c2549279526,EA,,
63cb9578dc2336966951aefde949dd06,EIS,,
5cb16ae6859e83f4d33bea748fc4973b,EIS,,
3718adf3a4fb17b73d2e9f347cd94e10,EA,,
94c0f455b83fc35c6da432c3e731bd1e,EIS,,
b7a79e7ff657fe475614530878359e15,EIS,,
610aaf294ae93aae30fda90d31158832,EIS,,
b45eb4efd9ef4b074fe3980d125e4af1,EIS,,
8a8f3dcfab878cd44fd3a4a2e710a111,EA,,
fddaef78ad319aee0a4dca52ef1ec071,EA,,
12c0a1add6b2e09ade100751919ad719,EA,,
6cde777dfee00e6701f39ccc4b479201,EA,,
f8e4dd8fbdc399985390fb5e16005e9b,EIS,,
aac6731679b47d9a98859e2fef281c93,EIS,,
380b31b095c71d98604f94c926a81025,EIS,,
41a15ce88b20f06fe2f75dfb0b9d6584,EA,,
9154cf00be4261b99be109840bc6c313,EA,,
8b3ceb890ec4d1ab938eebe5312bb297,EIS,,
5d63305baee7e0659a913d19fadb2f35,EIS,,
579a9d30e7ea6acffda0bdf104c5a1ec,EIS,,
517fcd0a86ae9e11253e452915c94840,EIS,,
55e8244e419b354f7c275b5513e7ecae,EIS,,
e21f9c6ec90ea0ff5341fa408e09b4e8,EIS,,
493dff3742657937c4735fc37aca4a20,EIS,,
e5406844d8ddc258d6cbbb65ada833c4,EA,,
4694b454a9cf9be2919242a101bf1209,EA,,
92752cf48ef863e9277643410f121573,EIS,,
0336a0b42224e695363a317e755db042,EA,,
3ca46ef40c1b7a1deaf21931fadeba9f,EIS,,
773cd1e4849498184b94124d73caa7fc,EIS,,
c88a9105f156e6f32a20c5dceac35d71,EIS,,
b88b4fa9f3a5e80e81aedbd9ba5983a9,EA,,
ca0cf2cb262cfb9a10c55ceb979304eb,EA,,
