project_id,process_type,initiation_candidate_id,decision_candidate_id,notes,split
f6c9b436-aa1d-52df-9cbf-780c61dfa17d,CE,3d815ba023ebb326fd60,2006cbc469154e34754d,init=earlier CE Date Determined paired with later operative signature; dec=authoritative register determination,test
b1cb6f2d-2979-91cf-8b0b-53f5b303f8a8,CE,51f049e3c5061593a0c9,1d9714fffed10b0c0c16,init=DOE Initiator signature; dec=authoritative register determination,train
850764ec-9263-e38e-a71c-a641da649cdd,CE,2013d5af08a69a304886,23998548ef6238fce497,init=earliest qualifying application or scoping start; dec=authoritative register determination,train
04e886be-e1c9-face-45bb-1c0077727683,CE,none,42eb0eca98b0fec09cc1,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",train
ac2cb93f-58c7-0c57-0b0b-221ffabdc0ab,CE,2ec5ab16b5accdbcdda9,0c92708ab10905f5aaa5,init=authoritative register project start; dec=authorizing-official or compliance-officer signature,test
3febc71d-4bfd-979b-5590-95efc0d6cb1c,CE,12e200a6d39bf8c9ede5,none,init=authoritative register project start; dec=none; no operative CE determination candidate,train
07ed02d2-7cbb-5e3f-e74d-c6929d9cffee,CE,d391193d2372b435dd68,1abfdcdbffd3fe87a2cd,init=DOE Initiator signature; dec=authoritative register determination,train
5daae2af-7644-1562-db85-d2c532731e4c,CE,none,104382d5eabec1d545e2,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",train
ad5104db-cea2-bdc6-cefa-8e4dea62eeb2,CE,none,none,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=none; no operative CE determination candidate",train
0c609ea3-3048-51c9-1308-01903566b581,CE,f4fec67e4413901308e4,a6364d40316c508999d7,init=earlier CE Date Determined paired with later operative signature; dec=authorizing-official or compliance-officer signature,train
3f6c06d3-3c61-1b38-bc07-8ee3317365d7,CE,none,dedb65088ada910fe931,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=operative FONSI",test
a21d2968-c3fc-0b0c-8837-534e80e344f8,CE,db9f363d2886a0d8478e,3b434a473f42283a71b2,init=authoritative register project start; dec=authorizing-official or compliance-officer signature,train
dcc26215-8ced-8b8f-4609-805796131708,CE,none,05c4bc0fc5aa54536aed,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authorizing-official or compliance-officer signature",test
078dd7e0-1966-3ae4-857b-a28b0b388dec,CE,59527a81e358980e7a26,aecd577fc3e9787285b7,init=DOE Initiator signature; dec=authoritative register determination,train
3e1c0fe3-30f7-17d4-fc58-bb84de7efafc,CE,14bd2c264dccc32435ac,50e48a9dba346afe47a0,init=authoritative register project start; dec=authorizing-official or compliance-officer signature,train
9ba42867-3185-dde6-71b7-dead154271f6,CE,c05c52c67a69f702b8ae,d599baa42227f66e350e,init=earliest qualifying application or scoping start; dec=authorizing-official or compliance-officer signature,train
c6982bcc-a660-07fe-21d9-11862d750b10,CE,none,23079c1180eaa07fcbc8,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",train
2539c34d-33eb-1c60-5b6a-9d30093bbcc4,CE,none,d4c006076b6f6d6e2494,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=operative ROD",train
95f6899e-df5d-6a0a-532e-2d0cad5d1f5d,CE,f32e8eff1b85f9f95eaf,a6ddc425bcbfcc803c4d,init=earlier CE Date Determined paired with later operative signature; dec=authorizing-official or compliance-officer signature,test
2c82db23-c88c-7049-ff2f-f2c5347c4152,CE,183f9df6914db01f43ef,0e24fc50629b81c78a05,init=earliest qualifying application or scoping start; dec=authoritative register determination,train
201fbf74-33aa-5323-2adf-6fb351540e25,CE,e12547b016e2870dbc88,none,init=earliest qualifying application or scoping start; dec=none; no operative CE determination candidate,train
9870e6f4-e256-8766-2fbc-4a46e842a9e9,CE,dee26a89d4de1667cd2c,270e7e2fa96d44057b95,init=earlier CE Date Determined paired with later operative signature; dec=authorizing-official or compliance-officer signature,train
92b13086-c82f-26a8-0737-ee7fd32cc4cb,CE,none,e1c8209ea351f6f72566,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authorizing-official or compliance-officer signature",test
1167dca8-16c2-400b-0163-6a6c6ab9a225,CE,none,none,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=none; no operative CE determination candidate",train
781b39c3-3af5-dcd4-6f9c-0355fbf0838e,CE,4ddbb0a2900a6d11de85,0ed7cd9b8b053c004f73,init=earlier CE Date Determined paired with later operative signature; dec=authoritative register determination,train
205a2672-212a-e498-6edc-dd2bce5fbea5,CE,none,3c027b81221ba1141c2f,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authorizing-official or compliance-officer signature",train
daf27979-126c-52c3-e902-709842b724c4,CE,none,none,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=none; no operative CE determination candidate",train
2c1cb592-b1b6-c4eb-60a8-a5c50868591d,CE,402562907ffecf3f18d0,9cc27b005495e43ff4be,init=authoritative register project start; dec=authorizing-official or compliance-officer signature,train
a4fde60a-a82d-c989-dc9d-3d474c94beb3,CE,d8088c78e7d1cbf426bc,8be1e5b321d927e799a1,init=earlier CE Date Determined paired with later operative signature; dec=authoritative register determination,train
1496d425-901a-c789-fbc4-e6978c376e15,CE,bb8f27bd65c052bd2ab1,dd4e7eb465d4cb814f76,init=earliest qualifying application or scoping start; dec=authorizing-official or compliance-officer signature,train
2cefa27d-e6dd-1459-b867-6a20a1b91037,CE,694b9dcd61e0380785cd,d8fecbacd2e9fd97ef15,init=earliest qualifying application or scoping start; dec=authoritative register determination,test
938359d7-0db2-4a95-202f-d5689371f825,CE,none,72e28b2e0f24c00daaf3,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",test
e580fc0d-b93b-2629-fe58-239234d5f8d0,CE,none,f2479827c7b9185245fe,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",train
c114d326-50b3-f571-60fc-8f69688f1ced,CE,a6fb63f6dbc31624979b,40a69520cba3e9fa408a,init=earlier CE Date Determined paired with later operative signature; dec=authorizing-official or compliance-officer signature,test
035f02d4-95cf-c0da-9a6e-da98e8b5b8ee,CE,none,3d2280c21dee46078595,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authorizing-official or compliance-officer signature",train
97af6d81-13e2-d0d1-a9c0-fe77eeae9793,CE,none,73ae17dbad8c1a86a6a4,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",train
9a08db0c-def2-c311-1c26-7035a898dce9,CE,none,36c648696ea628b483ef,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authoritative register determination",train
ff510498-4db6-1a58-6811-90f9518d98f9,CE,79ef8141d5611c860652,0ad93ae7976c3d400a7b,init=earliest qualifying application or scoping start; dec=authoritative register determination,train
f559d60c-6e87-48f2-9169-88d657ea10a6,CE,none,c559d4492d68cf63d35e,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=authorizing-official or compliance-officer signature",train
1591c594-db23-5c1e-dffd-d83bec0e3978,CE,4708edb177c8054c824d,7a8a4bc4eb835d19a8ff,init=earlier CE Date Determined paired with later operative signature; dec=authoritative register determination,test
39739980-9d85-048d-9e66-f5041b6295b3,CE,none,none,"init=none; no qualifying NOI, application, scoping, or CE start candidate; dec=none; no operative CE determination candidate",train
